"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.702933334E-2,-4.363410677E-2,-9.696881739E-2,-3.966107905E-2,1.134895943E-1
4.695733334E-2,-1.455084823E-1,-7.939601574E-2,4.312087655E-2,1.712771314E-1
5.688633334E-2,7.301002485E-2,-1.119320067E-1,-5.853062868E-4,1.336397412E-1
6.681433334E-2,-1.720146691E-2,-6.030122953E-2,5.210863173E-2,8.153182353E-2
7.674333333E-2,-1.435511999E-1,-5.853437912E-2,6.707925797E-2,1.689166877E-1
8.667133333E-2,-6.806378290E-3,-7.898440830E-2,-5.506849229E-2,9.652669260E-2
9.660033333E-2,-1.493577135E-2,-9.905435476E-2,-1.763812602E-2,1.017150232E-1
1.065283333E-1,-9.862117658E-2,-1.128074080E-1,1.277166384E-1,1.968836903E-1
1.164563333E-1,7.279139380E-2,-1.624803272E-1,-1.180675632E-1,2.136314425E-1
1.263853333E-1,-2.492918367E-2,-6.230830001E-2,3.896993816E-2,7.760441050E-2
1.363133333E-1,-7.439027837E-2,-3.757598022E-2,9.435418010E-2,1.258911399E-1
1.462423333E-1,-1.832227766E-2,-6.654663144E-2,-9.544643998E-2,1.177887215E-1
1.561703333E-1,-4.171314111E-2,3.885494901E-2,1.464616424E-1,1.571645822E-1
1.660993333E-1,-1.754379215E-1,6.070763843E-2,-2.687321842E-2,1.875794540E-1
1.760273333E-1,4.293342761E-2,-1.585292540E-2,-1.804041445E-2,4.919401390E-2
1.859563333E-1,2.368350746E-2,1.165925665E-3,1.565299630E-2,2.841274717E-2
1.958843333E-1,-5.308531774E-3,-8.009320484E-2,5.292724192E-2,9.614777641E-2
2.058123333E-1,1.660684163E-2,-1.061896755E-1,-9.436528981E-2,1.430274180E-1
2.157413333E-1,3.729704976E-2,-7.550981004E-2,3.362616777E-2,9.068362858E-2
2.256693333E-1,-6.973530086E-2,-4.107003875E-2,1.976879293E-1,2.136124473E-1
2.355983333E-1,1.050989870E-1,-7.011378930E-2,-1.076799846E-1,1.660021675E-1
2.455263333E-1,4.907050984E-2,-4.194089016E-3,-1.814677531E-1,1.880320470E-1
2.554553333E-1,-1.463719881E-1,1.208494308E-2,1.452986312E-1,2.065974273E-1
2.653833333E-1,-2.982397011E-2,-8.437289162E-2,7.718500078E-2,1.181768944E-1
2.753123333E-1,-1.532291824E-1,-1.954665720E-2,6.027894616E-2,1.658155767E-1
2.852403333E-1,-1.410544023E-1,-1.935736273E-2,-2.205101967E-2,1.440739372E-1
2.951683333E-1,3.259400630E-2,-2.472351699E-2,2.949920297E-3,4.101613791E-2
3.050973333E-1,2.536572400E-2,-1.027643126E-1,1.890206015E-1,2.166395894E-1
3.150253333E-1,-2.127457338E-2,-7.951352650E-2,-3.230674356E-1,3.333880267E-1
3.249543333E-1,1.334862689E-1,-7.357461920E-2,-1.513773966E-1,2.148183529E-1
3.348823333E-1,-4.216005111E-2,-9.215041020E-2,6.971986055E-2,1.230041746E-1
3.448113333E-1,-4.803113985E-2,-8.442876907E-2,-3.021841049E-3,9.718198889E-2
3.547393333E-1,3.752080626E-2,-8.587550727E-2,-1.034664810E-2,9.428396883E-2
3.646683333E-1,-1.348551477E-1,-4.209775086E-2,1.083658630E-1,1.780485657E-1
3.745963333E-1,-9.629928379E-2,-6.519274520E-2,1.001318139E-1,1.534601780E-1
3.845243333E-1,-1.353578164E-1,-2.683883862E-2,1.938936710E-3,1.380065984E-1
3.944533333E-1,-6.172568436E-2,5.805871270E-2,1.001388305E-1,1.311817808E-1
4.043813333E-1,-4.025056061E-2,8.256414682E-3,-1.586811537E-1,1.639145648E-1
4.143103333E-1,1.206789114E-1,4.967583370E-2,-1.062789917E-2,1.309352525E-1
4.242383333E-1,9.901846748E-2,2.376767082E-2,-8.606516719E-2,1.333295619E-1
4.341673333E-1,1.329243788E-1,-6.584144809E-2,-1.276751232E-1,1.957164374E-1
4.440953333E-1,1.088040935E-1,-4.921891948E-2,9.941436052E-2,1.553835509E-1
4.540243333E-1,-7.990271352E-2,-3.582906059E-2,8.535297632E-2,1.222836693E-1
4.639523333E-1,-4.236046443E-2,-1.019732483E-1,5.692147493E-2,1.242296527E-1
4.738813333E-1,-1.156666142E-1,-1.180180811E-1,6.650155306E-2,1.781277341E-1
4.838093333E-1,-1.781606227E-1,-3.602830446E-2,1.488303494E-1,2.349249223E-1
4.937373333E-1,-9.530029614E-2,-6.126122357E-2,3.430795312E-2,1.183727993E-1
5.036663333E-1,-5.900632708E-2,-4.433040965E-2,5.720214128E-2,9.337567576E-2
5.135943333E-1,-4.741178267E-3,-1.163900792E-1,1.173734987E-1,1.653652548E-1
5.235233333E-1,-1.495059130E-1,-2.338193731E-2,-2.526622814E-1,2.945113944E-1
5.334513333E-1,8.267937351E-2,-8.969241433E-2,-1.900877184E-1,2.258626766E-1
5.433803333E-1,-3.229857573E-2,-1.018606163E-1,8.414786518E-2,1.360134051E-1
5.533083333E-1,-1.505882783E-2,-9.453120455E-2,6.410477936E-2,1.152056408E-1
5.632373333E-1,1.104756115E-1,-1.002793282E-1,-1.503857088E-1,2.118411334E-1
5.731653333E-1,-1.054298024E-1,-3.256200193E-2,3.130599260E-1,3.319371092E-1
5.830943333E-1,-1.348009422E-1,-1.155262719E-2,3.464299858E-2,1.396599247E-1
5.930223333E-1,-1.484335793E-2,1.166289289E-2,-7.447540104E-2,7.683055190E-2
6.029503333E-1,-1.835160692E-1,3.693924584E-2,9.153757632E-2,2.083789419E-1
6.128793333E-1,-1.026031944E-2,-5.836383685E-2,-1.713877380E-2,6.168751231E-2
6.228073333E-1,5.393123626E-2,-1.146528623E-1,4.603805244E-2,1.348086027E-1
6.327363333E-1,-5.511879662E-2,-6.222557561E-2,1.035226142E-1,1.327668470E-1
6.426643333E-1,4.503911046E-2,-9.859665482E-2,-3.613754690E-2,1.142617351E-1
6.525933333E-1,3.097681263E-3,-6.532050686E-2,-6.472166061E-2,9.200683452E-2
6.625213333E-1,-1.134668186E-1,5.850778800E-4,2.345259726E-2,1.158666715E-1
6.724503333E-1,-4.992402060E-2,-9.306707089E-2,4.545508504E-2,1.149784861E-1
6.823783333E-1,-5.833569713E-2,-3.317287152E-2,-5.932468057E-2,8.957070218E-2
6.923073333E-1,6.009150635E-2,-7.315880908E-2,-1.398542887E-1,1.688858270E-1
7.022353333E-1,-1.217105247E-1,3.360541016E-3,3.014292294E-1,3.250912570E-1
7.121633333E-1,-5.298294579E-2,-5.620197505E-2,-4.629532993E-2,9.005060864E-2
7.220923333E-1,1.084005991E-1,-5.790737031E-2,-2.121492630E-1,2.451759842E-1
7.320203333E-1,-8.845206457E-2,-1.999657304E-2,2.575745273E-1,2.730719095E-1
7.419493333E-1,3.350987214E-2,-1.444287848E-1,-9.164458036E-2,1.743023652E-1
7.518773333E-1,2.317273490E-2,-1.312061106E-1,-4.972121358E-2,1.422118777E-1
7.618063333E-1,-1.050957893E-1,-4.783824569E-2,5.910657942E-2,1.297197380E-1
7.717343333E-1,-8.791010991E-2,-6.708797397E-2,6.868899643E-2,1.301812656E-1
7.816633333E-1,-1.451667765E-1,3.482863854E-2,-2.440920174E-2,1.512687548E-1
7.915913333E-1,-1.841545486E-1,6.515835626E-2,-1.928055042E-1,2.744676149E-1
8.015203333E-1,-4.500347899E-2,5.566541992E-2,-1.965524000E-1,2.091812564E-1
8.114483333E-1,4.330280718E-2,4.881312272E-2,-1.073303211E-1,1.256091234E-1
8.213763333E-1,-9.267349846E-2,7.066443256E-2,-2.855996472E-1,3.084623118E-1
8.313053333E-1,-1.401277922E-2,3.509498835E-2,3.024062991E-2,4.839950295E-2
8.412333333E-1,1.278195038E-1,-1.008184506E-1,1.103346205E-1,1.966619282E-1
8.511623333E-1,1.773235755E-2,-8.711984958E-2,3.450582290E-1,3.563277790E-1
8.610903333E-1,1.566442030E-1,-1.881750576E-1,1.244211477E-1,2.746413673E-1
8.710193333E-1,1.036167544E-1,-1.623762650E-1,5.347571075E-2,1.999053148E-1
8.809473333E-1,-5.871875371E-2,-1.083023750E-1,1.777167642E-1,2.162418663E-1
8.908763333E-1,-1.045668173E-1,-1.331469750E-1,-1.183739573E-1,2.065786291E-1
9.008043333E-1,-1.448013529E-1,-2.136840292E-2,-1.778489113E-2,1.474460674E-1
9.107333333E-1,-1.604557836E-1,-2.742145884E-2,2.831338763E-2,1.652260355E-1
9.206613333E-1,-7.152583706E-2,1.678418585E-2,-1.653808933E-1,1.809654501E-1
9.305893333E-1,3.952626418E-3,-8.595638157E-2,-8.424902201E-2,1.204243352E-1
9.405183333E-1,1.457857499E-1,-1.566605387E-1,-3.051077127E-2,2.161640960E-1
9.504463333E-1,6.091154180E-2,-1.364892709E-1,1.374452358E-1,2.030535148E-1
9.603753333E-1,1.811412957E-1,-1.673123931E-1,-1.271933126E-1,2.774594469E-1
9.703033333E-1,1.339798104E-2,-9.455357929E-2,1.030431426E-1,1.404911900E-1
9.802324583E-1,-6.172475246E-2,-3.227662127E-2,4.027281475E-1,4.087073356E-1
9.901604583E-1,5.763198473E-2,-5.887609863E-2,-6.623316586E-2,1.057103255E-1
1.000089458E0,-1.147766588E-1,-8.540872587E-3,2.133765936E-2,1.170552161E-1
1.010017458E0,-1.485650229E-1,-1.962508298E-2,7.133720040E-2,1.659689913E-1
1.019946458E0,-5.392092140E-2,-6.460013903E-2,-1.503143728E-2,8.547858114E-2
1.029874458E0,-9.520376226E-2,-4.824964299E-2,-1.467557573E-1,1.814635961E-1
1.039802458E0,6.343881804E-2,-1.263240053E-1,-8.763105154E-2,1.663172845E-1
1.049731458E0,9.675774205E-2,-1.334475950E-1,5.158530593E-2,1.727175875E-1
1.059659458E0,1.345116878E-1,-1.519418082E-1,-8.118040323E-2,2.185634121E-1
1.069588458E0,6.977578369E-2,-1.050106941E-1,-7.219849527E-2,1.452877441E-1
1.079516458E0,1.419767914E-3,-7.554767990E-2,1.960507089E-1,2.101079440E-1
1.089445458E0,-4.135521842E-2,-7.513927929E-3,3.290169775E-2,5.337822514E-2
1.099373458E0,-1.045440497E-1,-1.785547798E-3,-2.891214252E-2,1.084829871E-1
1.109302458E0,-1.073497448E-1,4.241724637E-2,1.453325450E-1,1.855929394E-1
1.119230458E0,-3.282678944E-2,-1.520776737E-2,6.809725821E-2,7.711102949E-2
1.129159458E0,3.196992567E-2,-4.935869534E-2,-4.596262336E-2,7.463859390E-2
1.139087458E0,3.094529249E-2,-7.935345897E-2,-8.847188115E-2,1.228082095E-1
1.149016458E0,5.473372092E-2,-1.041800971E-1,-5.493926883E-2,1.298753098E-1
1.158944458E0,7.145955339E-2,-1.182388318E-1,-1.651054895E-1,2.152828646E-1
1.168872458E0,2.029029513E-3,-7.741653224E-2,-1.660012829E-1,1.831771338E-1
1.178801458E0,-3.141757392E-2,-1.129028912E-1,2.016406471E-1,2.332232350E-1
