"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.482725000E-2,2.529701373E-1,7.948288344E-1,-1.845656664E0,2.025387688E0
2.475625000E-2,-6.490284390E-1,1.316574973E-1,1.504102671E0,1.643440433E0
3.468525000E-2,-8.518741241E-1,2.602229322E-1,4.262666988E-1,9.874759725E-1
4.461425000E-2,-2.407310379E-1,2.391152877E-1,-4.473821640E-1,5.614965308E-1
5.454325000E-2,-4.817099977E-1,2.399165938E-1,5.564953011E-1,7.741392084E-1
6.447325000E-2,-6.219675250E-1,1.390618265E-1,-3.889094228E-1,7.466139115E-1
7.440225000E-2,-5.525754008E-1,-3.518375639E-2,-8.245918930E-2,5.598008469E-1
8.433125000E-2,-4.655366722E-1,8.186032478E-2,2.451872009E-1,5.324868726E-1
9.426025000E-2,-7.328231324E-1,1.101064877E-1,8.150574231E-1,1.101576954E0
1.041892500E-1,-5.900043053E-1,1.890871319E-1,2.864205962E-1,6.825655878E-1
1.141192500E-1,-5.205548785E-1,2.552261758E-1,1.549102843E-2,5.799635802E-1
1.240482500E-1,-5.179564855E-1,3.596056630E-1,5.133446038E-1,8.130915299E-1
1.339772500E-1,-4.178484625E-1,3.432942702E-1,2.898874104E-2,5.415612991E-1
1.439062500E-1,-5.726708192E-1,2.196961546E-1,-3.266383302E-1,6.949178846E-1
1.538352500E-1,-3.352407173E-1,2.373495565E-1,1.882177788E-1,4.518263857E-1
1.637642500E-1,-4.363477006E-1,1.739845047E-1,2.018868148E-1,5.113005082E-1
1.736942500E-1,-5.979668243E-1,2.390561395E-1,-3.105415303E-1,7.149462937E-1
1.836232500E-1,-6.701074322E-1,2.123344370E-1,-8.265097797E-2,7.077860326E-1
1.935522500E-1,-5.686415029E-1,1.442186870E-1,6.661598307E-1,8.876492035E-1
2.034815000E-1,-6.501032303E-1,2.488483253E-1,-4.459285462E-1,8.266873456E-1
2.134105000E-1,-7.308822222E-1,1.402657134E-1,-1.780483013E-1,7.652218572E-1
2.233405000E-1,-3.925041448E-1,2.341846779E-1,4.023925173E-1,6.089513158E-1
2.332695000E-1,-4.543468191E-1,4.180576101E-1,-1.374154150E-2,6.175694514E-1
2.431985000E-1,-5.381333264E-1,4.624677246E-1,1.837721407E-2,7.097898247E-1
2.531275000E-1,-4.980559256E-1,4.983520505E-1,1.366365659E-1,7.176935435E-1
2.630565000E-1,-5.380106445E-1,2.467069653E-1,-2.080380857E-2,5.922436819E-1
2.729865000E-1,-4.163112660E-1,-1.177916477E-1,-9.204441297E-1,1.017058178E0
2.829155000E-1,-3.350801016E-1,-1.602134896E-1,-3.300940347E-1,4.968994954E-1
2.928445000E-1,-2.764238309E-1,9.606642757E-2,5.790912813E-1,6.488340349E-1
3.027735000E-1,-2.273256016E-1,2.705015516E-1,-1.194697255E-1,3.729893214E-1
3.127025000E-1,-5.484903167E-1,1.773956424E-1,3.913395256E-1,6.967477777E-1
3.226315000E-1,-4.373821096E-1,2.010622843E-1,8.547149938E-1,9.809520236E-1
3.325615000E-1,-5.172988930E-1,4.801269371E-2,3.722623998E-1,6.391264802E-1
3.424905000E-1,-6.602794321E-1,9.383790750E-2,1.671315497E-1,6.875372253E-1
3.524195000E-1,-4.029830861E-1,9.271162413E-3,-3.176768875E-1,5.132250257E-1
3.623485000E-1,-5.642075958E-1,6.177130178E-2,2.916357279E-2,5.683277390E-1
3.722775000E-1,-3.749749962E-1,6.525799647E-2,-1.602891380E-1,4.129860308E-1
3.822075000E-1,-2.956874829E-1,-1.026355551E-1,1.507441431E-1,3.474031396E-1
3.921365000E-1,-3.504197968E-1,-3.837542251E-2,7.392014945E-1,8.189539404E-1
4.020655000E-1,-4.069534552E-1,9.168989629E-2,-6.652377248E-3,4.172078689E-1
4.119945000E-1,-5.624009158E-1,-5.524442039E-2,5.591528606E-1,7.949834323E-1
4.219235000E-1,-4.113823190E-1,1.122506434E-1,6.357186413E-1,7.654892620E-1
4.318535000E-1,-5.650997713E-1,3.052484114E-1,5.016799933E-1,8.149829200E-1
4.417825000E-1,-4.947927772E-1,2.413933081E-1,5.127557892E-1,7.523357767E-1
4.517115000E-1,-2.344504704E-1,-8.614552986E-2,1.144750339E-1,2.747591833E-1
4.616405000E-1,-3.385976404E-1,-3.515254688E-1,-1.006703424E-1,4.983503136E-1
4.715695000E-1,-1.992846577E-1,-3.090808227E-1,-3.056269455E-1,4.781769124E-1
4.814985000E-1,-2.186238849E-1,-2.129648400E-1,-1.037489015E-1,3.223573494E-1
4.914285000E-1,-2.743364115E-1,-1.157263746E-1,5.176393837E-1,5.971629526E-1
5.013575000E-1,-3.307593016E-1,-6.278888175E-2,8.465581280E-1,9.110460051E-1
5.112865000E-1,-3.259439368E-1,6.092323624E-2,5.227293849E-1,6.190291597E-1
5.212155000E-1,-3.675051782E-1,9.348263433E-2,1.391114584E0,1.441873380E0
5.311445000E-1,-1.960830148E-1,1.703941133E-1,5.720769614E-1,6.282951156E-1
5.410745000E-1,-3.471074588E-1,2.056326143E-1,-4.786799705E-1,6.260214646E-1
5.510035000E-1,-2.163440555E-1,9.378093369E-3,2.899482214E-1,3.618876485E-1
5.609325000E-1,-8.391174730E-2,1.398796693E-1,-1.344520462E-1,2.113879276E-1
5.708615000E-1,-3.070054997E-1,3.657067940E-3,-4.514085567E-1,5.459262185E-1
5.807905000E-1,-2.114601321E-1,-2.063603003E-2,2.188858402E-1,3.050446594E-1
5.907205000E-1,-2.767755775E-1,1.961483026E-1,5.022354788E-1,6.060687692E-1
6.006495000E-1,-3.160303481E-1,5.465178316E-1,2.408503211E-1,6.756965283E-1
6.105785000E-1,-3.507832378E-1,5.939033384E-1,9.447580218E-2,6.962009282E-1
6.205075000E-1,-2.577101827E-1,4.458359775E-1,7.486190200E-2,5.203734826E-1
6.304365000E-1,-9.295326032E-2,4.473942239E-1,1.145153797E-1,4.710792633E-1
6.403665000E-1,-2.317758809E-1,2.650898256E-1,5.077137351E-2,3.557673495E-1
6.502955000E-1,-1.591348976E-1,1.401357042E-1,-2.002934486E-1,2.916837273E-1
6.602245000E-1,-3.144193671E-1,2.044212356E-1,-3.136054713E-1,4.888721424E-1
6.701535000E-1,-3.472362803E-1,3.197228283E-1,-5.095474219E-1,6.945749034E-1
6.800825000E-1,-4.132992921E-1,4.440330251E-1,-5.529735231E-1,8.208296714E-1
6.900125000E-1,-3.730132188E-1,5.116398846E-1,-2.094922882E-1,6.669342185E-1
6.999415000E-1,-3.373684460E-1,5.295853914E-1,-1.305145311E-1,6.413362597E-1
7.098705000E-1,-2.573693996E-1,6.055239486E-1,-4.544695741E-1,7.996504573E-1
7.197995000E-1,-3.079459147E-1,4.135111441E-1,2.963234407E-1,5.946677510E-1
7.297285000E-1,-1.870527942E-1,2.724602227E-1,-1.945175689E-1,3.834845569E-1
7.396585000E-1,-3.389163502E-1,2.271914628E-1,-3.921715844E-1,5.659318023E-1
7.495875000E-1,-2.400144250E-1,1.164783265E-1,-5.652982843E-1,6.250890137E-1
7.595165000E-1,-3.360346230E-1,1.058153258E-1,-4.713709509E-1,5.884783126E-1
7.694455000E-1,-3.973283169E-1,2.527020790E-1,-6.123929286E-1,7.724980461E-1
7.793745000E-1,-4.259603413E-1,2.465312382E-1,-6.380341387E-1,8.057961441E-1
7.893045000E-1,-3.706215614E-1,2.906141462E-1,3.032091218E-1,5.601363185E-1
7.992335000E-1,-2.267186606E-1,2.264381222E-1,-5.452177763E-1,6.324065131E-1
8.091625000E-1,-4.178519342E-1,-2.125091957E-2,-6.852971828E-1,8.029222062E-1
8.190915000E-1,-1.142586504E-1,-8.101759482E-2,1.310606611E-1,1.918222790E-1
8.290205000E-1,-2.478174247E-1,-1.880546232E-1,-5.422865671E-1,6.251821640E-1
8.389505000E-1,-5.649130990E-1,-1.795130654E-1,3.365072608E-3,5.927588664E-1
8.488795000E-1,-3.138276654E-1,-1.438779953E-1,-1.003920150E-1,3.595375332E-1
8.588085000E-1,-7.448839648E-1,-2.176732373E-1,-1.335597610E-1,7.874464865E-1
8.687375000E-1,-4.933042588E-1,-2.056384798E-1,1.986357629E-2,5.348185092E-1
8.786665000E-1,-4.943590235E-1,-2.660932627E-1,-1.893129623E-1,5.924827982E-1
8.885965000E-1,-5.179864159E-1,-3.475718008E-1,-4.329278469E-2,6.252922109E-1
8.985255000E-1,-2.357904695E-1,-4.279459826E-1,5.876808411E-1,7.642667601E-1
