"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,8.139635298E0
4.687500000E1,1.499624920E1
7.031250000E1,1.284269554E1
9.375000000E1,2.433885567E0
1.171875000E2,8.533500758E0
1.406250000E2,7.211951553E0
1.640625000E2,1.561406749E0
1.875000000E2,2.180637882E0
2.109375000E2,1.176119977E0
2.343750000E2,1.573916776E0
2.578125000E2,1.733971235E-1
2.812500000E2,4.662991752E0
3.046875000E2,2.013388000E0
3.281250000E2,1.996054784E0
3.515625000E2,1.612387488E0
3.750000000E2,2.642240763E0
3.984375000E2,2.191269774E0
4.218750000E2,8.407191702E-1
4.453125000E2,2.609258059E0
4.687500000E2,1.740541541E0
4.921875000E2,2.000387634E0
5.156250000E2,1.067801364E0
5.390625000E2,1.471559721E0
5.625000000E2,6.251555669E-1
5.859375000E2,1.516322825E0
6.093750000E2,1.874344579E0
6.328125000E2,1.742086569E-1
6.562500000E2,7.728597514E-1
6.796875000E2,5.667922094E-1
7.031250000E2,7.095000871E-1
7.265625000E2,4.283174763E-1
7.500000000E2,1.428629157E0
7.734375000E2,3.411110335E-1
7.968750000E2,7.134974234E-1
8.203125000E2,5.288948559E-1
8.437500000E2,5.293193553E-1
8.671875000E2,9.636576191E-1
8.906250000E2,3.865929356E-1
9.140625000E2,7.351953337E-1
9.375000000E2,5.938603289E-1
9.609375000E2,4.284915891E-1
9.843750000E2,1.647441374E-1
1.007812500E3,4.886910372E-1
1.031250000E3,7.601475832E-1
1.054687500E3,7.016224981E-1
1.078125000E3,8.240904867E-1
1.101562500E3,4.169359493E-1
1.125000000E3,7.544672619E-1
1.148437500E3,7.095790380E-1
1.171875000E3,3.069115646E-1
1.195312500E3,4.042316802E-1
1.218750000E3,9.467591864E-1
1.242187500E3,5.627307986E-1
1.265625000E3,5.959273000E-1
1.289062500E3,2.774805310E-1
1.312500000E3,5.971169490E-2
1.335937500E3,1.950994333E-1
1.359375000E3,2.980973445E-2
1.382812500E3,6.718759362E-1
1.406250000E3,1.070020926E-1
1.429687500E3,4.413858332E-2
1.453125000E3,1.489998563E-1
1.476562500E3,3.908277102E-1
1.500000000E3,1.011350441E-1
1.523437500E3,4.464579450E-2
1.546875000E3,1.334084980E-1
1.570312500E3,2.500159518E-1
1.593750000E3,2.904603649E-1
1.617187500E3,3.201116534E-1
1.640625000E3,2.480507258E-1
1.664062500E3,2.409356741E-1
1.687500000E3,2.872820732E-1
1.710937500E3,1.896059287E-1
1.734375000E3,3.585259506E-1
1.757812500E3,1.389221156E-1
1.781250000E3,3.357831196E-1
1.804687500E3,2.181224317E-1
1.828125000E3,4.724231557E-1
1.851562500E3,5.298994416E-2
1.875000000E3,1.659521171E-1
1.898437500E3,3.752867180E-1
1.921875000E3,4.434756669E-1
1.945312500E3,8.733261869E-2
1.968750000E3,2.003010328E-1
1.992187500E3,2.975988252E-1
2.015625000E3,2.903395701E-1
2.039062500E3,1.657188234E-1
2.062500000E3,1.807386120E-1
2.085937500E3,2.161597946E-1
2.109375000E3,1.672197126E-1
2.132812500E3,8.460873741E-2
2.156250000E3,2.865599902E-1
2.179687500E3,6.775848532E-2
2.203125000E3,1.017824659E-1
2.226562500E3,1.274126677E-1
2.250000000E3,2.749494660E-1
2.273437500E3,2.286962081E-1
2.296875000E3,2.028407625E-1
2.320312500E3,2.843896454E-1
2.343750000E3,1.621693034E-1
2.367187500E3,2.751525055E-1
2.390625000E3,2.664271186E-1
2.414062500E3,6.240307513E-2
2.437500000E3,1.269493966E-1
2.460937500E3,2.147072968E-1
2.484375000E3,2.830462918E-1
2.507812500E3,1.835433605E-1
2.531250000E3,1.236532271E-1
2.554687500E3,9.090609464E-2
2.578125000E3,2.532677965E-1
2.601562500E3,1.839480508E-1
2.625000000E3,1.538143698E-1
2.648437500E3,1.058419181E-1
2.671875000E3,2.589880756E-1
2.695312500E3,2.006310861E-1
2.718750000E3,1.477502717E-1
2.742187500E3,8.326436647E-2
2.765625000E3,1.214686526E-1
2.789062500E3,8.588962548E-2
2.812500000E3,8.828573931E-2
2.835937500E3,1.754011028E-1
2.859375000E3,7.401756934E-2
2.882812500E3,1.466098108E-1
2.906250000E3,1.351374889E-1
2.929687500E3,1.462022366E-1
2.953125000E3,8.382105720E-2
2.976562500E3,8.046951174E-2
3.000000000E3,1.249887579E-1
3.023437500E3,1.062404069E-1
3.046875000E3,1.450612970E-1
3.070312500E3,1.013692213E-1
3.093750000E3,1.068161776E-1
3.117187500E3,7.216240051E-2
3.140625000E3,4.104108303E-2
3.164062500E3,1.562982396E-1
3.187500000E3,1.388754721E-1
3.210937500E3,2.200481810E-1
3.234375000E3,4.520086333E-2
3.257812500E3,1.083208617E-1
3.281250000E3,9.157696204E-2
3.304687500E3,1.194436752E-1
3.328125000E3,5.455645694E-2
3.351562500E3,1.034111653E-1
3.375000000E3,6.556795391E-2
3.398437500E3,9.724247142E-2
3.421875000E3,4.190483080E-2
3.445312500E3,1.163926175E-1
3.468750000E3,1.457697362E-1
3.492187500E3,1.504188518E-1
3.515625000E3,6.349929783E-2
3.539062500E3,8.992025814E-2
3.562500000E3,1.875431112E-1
3.585937500E3,3.340421129E-2
3.609375000E3,1.170720509E-1
3.632812500E3,5.540056019E-2
3.656250000E3,8.908546963E-2
3.679687500E3,1.181522459E-1
3.703125000E3,7.139422851E-2
3.726562500E3,1.537449677E-1
3.750000000E3,8.521925904E-2
3.773437500E3,1.031515454E-1
3.796875000E3,1.605855644E-1
3.820312500E3,8.231549117E-2
3.843750000E3,1.196022271E-1
3.867187500E3,1.181989164E-1
3.890625000E3,9.476944859E-2
3.914062500E3,4.086707056E-2
3.937500000E3,5.788803813E-2
3.960937500E3,9.537046022E-2
3.984375000E3,9.383639577E-2
4.007812500E3,1.779267504E-2
4.031250000E3,8.606947423E-2
4.054687500E3,1.050041969E-1
4.078125000E3,1.301960018E-1
4.101562500E3,1.220656323E-1
4.125000000E3,7.364918924E-2
4.148437500E3,9.381012429E-2
4.171875000E3,1.132897977E-1
4.195312500E3,1.043772816E-1
4.218750000E3,1.287987009E-1
4.242187500E3,7.884017370E-2
4.265625000E3,2.529125485E-2
4.289062500E3,1.779843425E-1
4.312500000E3,1.069738560E-1
4.335937500E3,5.538620444E-2
4.359375000E3,6.565079879E-2
4.382812500E3,8.563808772E-2
4.406250000E3,1.584511447E-1
4.429687500E3,1.038629949E-1
4.453125000E3,6.457511691E-2
4.476562500E3,9.871937412E-2
4.500000000E3,5.881207739E-2
4.523437500E3,7.823001822E-2
4.546875000E3,2.802034179E-2
4.570312500E3,7.941898403E-2
4.593750000E3,1.235719286E-1
4.617187500E3,6.406964952E-2
4.640625000E3,3.785332883E-2
4.664062500E3,1.906630478E-2
4.687500000E3,3.954750951E-2
4.710937500E3,1.728722808E-2
4.734375000E3,1.124244477E-1
4.757812500E3,8.465807081E-2
4.781250000E3,7.623166981E-2
4.804687500E3,2.857883391E-2
4.828125000E3,6.401455108E-2
4.851562500E3,9.342868733E-2
4.875000000E3,3.975848566E-2
4.898437500E3,9.512621933E-2
4.921875000E3,5.441357861E-2
4.945312500E3,7.515135516E-2
4.968750000E3,7.096206148E-2
4.992187500E3,3.914070049E-2
5.015625000E3,8.611905425E-2
5.039062500E3,5.512536674E-2
5.062500000E3,1.059041995E-1
5.085937500E3,6.809930099E-2
5.109375000E3,6.842303605E-2
5.132812500E3,7.947109433E-2
5.156250000E3,8.651897204E-2
5.179687500E3,2.857796135E-2
5.203125000E3,9.427467810E-2
5.226562500E3,5.492544758E-2
5.250000000E3,8.993618758E-2
5.273437500E3,4.773703983E-2
5.296875000E3,6.754788290E-2
5.320312500E3,4.061434608E-2
5.343750000E3,4.902532169E-2
5.367187500E3,5.275814223E-2
5.390625000E3,6.807430177E-2
5.414062500E3,9.298072607E-2
5.437500000E3,3.360092407E-2
5.460937500E3,7.744384346E-2
5.484375000E3,8.958121129E-2
5.507812500E3,1.193107578E-1
5.531250000E3,6.985323596E-2
5.554687500E3,3.190449051E-2
5.578125000E3,5.876468441E-2
5.601562500E3,7.041871462E-2
5.625000000E3,3.256332006E-2
5.648437500E3,4.933418712E-2
5.671875000E3,6.539926646E-2
5.695312500E3,4.958268067E-2
5.718750000E3,1.007981985E-1
5.742187500E3,8.250369310E-2
5.765625000E3,7.651406115E-2
5.789062500E3,7.003022635E-2
5.812500000E3,6.335916337E-2
5.835937500E3,3.405114098E-2
5.859375000E3,7.394633722E-2
5.882812500E3,5.985847765E-2
5.906250000E3,4.809286087E-2
5.929687500E3,7.143232788E-2
5.953125000E3,4.933710430E-2
5.976562500E3,5.121042842E-2
6.000000000E3,8.438103298E-2
6.023437500E3,6.035547870E-2
6.046875000E3,5.394392273E-2
6.070312500E3,4.622155625E-2
6.093750000E3,5.098789379E-2
6.117187500E3,4.282754905E-2
6.140625000E3,3.437233693E-2
6.164062500E3,3.692372004E-2
6.187500000E3,6.973121358E-2
6.210937500E3,6.669527329E-2
6.234375000E3,8.173146413E-2
6.257812500E3,3.924079780E-2
6.281250000E3,4.191406963E-2
6.304687500E3,7.335372785E-2
6.328125000E3,6.036660073E-2
6.351562500E3,5.402537956E-2
6.375000000E3,7.066042470E-2
6.398437500E3,2.699008818E-2
6.421875000E3,6.235740876E-2
6.445312500E3,6.072565675E-2
6.468750000E3,4.960290095E-2
6.492187500E3,3.002445441E-2
6.515625000E3,3.660217643E-2
6.539062500E3,4.183992195E-2
6.562500000E3,3.168242770E-2
6.585937500E3,5.005441756E-2
6.609375000E3,5.853918142E-2
6.632812500E3,5.844218816E-2
6.656250000E3,3.680851306E-2
6.679687500E3,5.809026082E-2
6.703125000E3,4.786663175E-2
6.726562500E3,4.018008037E-2
6.750000000E3,7.993139175E-2
6.773437500E3,6.285055154E-2
6.796875000E3,4.378462267E-2
6.820312500E3,4.904217213E-2
6.843750000E3,5.313606525E-2
6.867187500E3,3.869646066E-2
6.890625000E3,5.842529879E-2
6.914062500E3,2.858001623E-2
6.937500000E3,3.234084973E-2
6.960937500E3,3.378771921E-2
