"Time (s)","Peak-Frequency"
4.137817083E-1,4.687500000E1
4.564483750E-1,4.687500000E1
5.222654583E-1,4.687500000E1
5.649321250E-1,4.687500000E1
6.296704583E-1,7.031250000E1
6.723371250E-1,4.687500000E1
7.150037917E-1,4.687500000E1
7.576704583E-1,7.031250000E1
8.089635000E-1,4.687500000E1
8.516301667E-1,4.687500000E1
8.942968334E-1,4.687500000E1
9.369635000E-1,7.031250000E1
9.796301667E-1,4.687500000E1
1.022296833E0,4.687500000E1
1.064963500E0,4.687500000E1
1.107630167E0,7.031250000E1
1.150296833E0,4.687500000E1
1.192963500E0,7.031250000E1
1.235630167E0,4.687500000E1
1.278296833E0,7.031250000E1
1.320963500E0,4.687500000E1
1.363630167E0,4.687500000E1
1.406342833E0,4.687500000E1
1.449009500E0,7.031250000E1
1.491676167E0,4.687500000E1
1.534342833E0,4.687500000E1
1.577009500E0,4.687500000E1
1.619676167E0,4.687500000E1
1.662342833E0,7.031250000E1
1.705009500E0,7.031250000E1
1.747676167E0,4.687500000E1
1.790342833E0,4.687500000E1
1.833009500E0,7.031250000E1
1.875676167E0,4.687500000E1
1.918342833E0,7.031250000E1
1.961009500E0,4.687500000E1
2.003676167E0,7.031250000E1
2.046342833E0,4.687500000E1
2.089009500E0,7.031250000E1
2.131676167E0,7.031250000E1
2.174342833E0,7.031250000E1
2.217009500E0,4.687500000E1
2.259676167E0,7.031250000E1
2.302342833E0,4.687500000E1
2.345009500E0,4.687500000E1
2.408088375E0,4.687500000E1
2.450755042E0,4.687500000E1
2.493421708E0,4.687500000E1
2.536088375E0,4.687500000E1
2.578755042E0,7.031250000E1
2.621421708E0,7.031250000E1
2.664088375E0,4.687500000E1
2.706755042E0,7.031250000E1
2.749421708E0,4.687500000E1
2.793216458E0,7.031250000E1
2.835883125E0,4.687500000E1
2.878549792E0,4.687500000E1
2.921216458E0,4.687500000E1
2.963883125E0,4.687500000E1
3.006549792E0,7.031250000E1
3.049216458E0,4.687500000E1
3.091883125E0,4.687500000E1
3.134549792E0,4.687500000E1
3.177216458E0,4.687500000E1
3.219883125E0,7.031250000E1
3.262549792E0,9.375000000E1
3.305216458E0,7.031250000E1
3.347883125E0,4.687500000E1
3.411786250E0,4.687500000E1
3.454452917E0,4.687500000E1
3.497119583E0,4.687500000E1
3.539786250E0,7.031250000E1
3.582452917E0,4.687500000E1
3.625119583E0,4.687500000E1
3.667786250E0,4.687500000E1
3.710452917E0,7.031250000E1
3.753119583E0,4.687500000E1
3.795786250E0,4.687500000E1
3.838452917E0,4.687500000E1
3.881119583E0,4.687500000E1
3.923786250E0,4.687500000E1
3.966452917E0,4.687500000E1
4.009119583E0,4.687500000E1
4.051786250E0,4.687500000E1
4.094452917E0,7.031250000E1
4.137119583E0,7.031250000E1
4.179786250E0,7.031250000E1
4.222452917E0,4.687500000E1
4.265119583E0,4.687500000E1
4.307786250E0,4.687500000E1
4.350452917E0,4.687500000E1
4.393119583E0,4.687500000E1
4.435786250E0,4.687500000E1
4.478452917E0,4.687500000E1
4.521119583E0,4.687500000E1
4.563786250E0,7.031250000E1
4.606452917E0,7.031250000E1
4.649119583E0,4.687500000E1
4.691786250E0,7.031250000E1
4.734452917E0,4.687500000E1
4.777119583E0,4.687500000E1
4.819786250E0,4.687500000E1
4.862452917E0,4.687500000E1
4.905119583E0,4.687500000E1
4.947786250E0,4.687500000E1
4.990452917E0,7.031250000E1
5.033119583E0,4.687500000E1
5.075786250E0,4.687500000E1
5.118452917E0,7.031250000E1
5.161119583E0,7.031250000E1
5.203786250E0,7.031250000E1
5.246452917E0,7.031250000E1
5.289119583E0,7.031250000E1
5.331786250E0,4.687500000E1
5.374452917E0,4.687500000E1
5.417119583E0,4.687500000E1
5.459786250E0,7.031250000E1
5.502452917E0,7.031250000E1
5.545119583E0,4.687500000E1
5.587786250E0,7.031250000E1
5.630452917E0,4.687500000E1
5.673119583E0,7.031250000E1
5.715786250E0,7.031250000E1
5.758452917E0,7.031250000E1
5.801119583E0,4.687500000E1
5.843786250E0,4.687500000E1
5.886452917E0,4.687500000E1
5.929119583E0,7.031250000E1
5.971786250E0,4.687500000E1
6.014452917E0,4.687500000E1
6.057119583E0,4.687500000E1
6.099786250E0,7.031250000E1
6.142452917E0,4.687500000E1
6.185119583E0,7.031250000E1
6.227786250E0,4.687500000E1
6.270452917E0,4.687500000E1
6.313119583E0,4.687500000E1
6.355786250E0,7.031250000E1
6.398452917E0,4.687500000E1
6.441119583E0,4.687500000E1
6.483786250E0,4.687500000E1
6.526452917E0,7.031250000E1
6.569119583E0,7.031250000E1
6.611786250E0,7.031250000E1
6.654452917E0,4.687500000E1
6.697119583E0,4.687500000E1
6.739786250E0,4.687500000E1
6.782452917E0,7.031250000E1
6.825119583E0,7.031250000E1
6.867786250E0,4.687500000E1
6.910452917E0,4.687500000E1
6.953119583E0,4.687500000E1
6.995786250E0,7.031250000E1
7.038452917E0,7.031250000E1
7.081119583E0,7.031250000E1
7.123786250E0,7.031250000E1
7.166452917E0,4.687500000E1
7.209119583E0,7.031250000E1
7.251786250E0,7.031250000E1
7.294452917E0,4.687500000E1
7.337119583E0,4.687500000E1
7.379786250E0,4.687500000E1
7.422452917E0,4.687500000E1
7.465119583E0,4.687500000E1
7.507786250E0,1.171875000E2
7.550452917E0,9.375000000E1
7.593119583E0,7.031250000E1
7.635786250E0,4.687500000E1
7.678452917E0,7.031250000E1
7.721119583E0,4.687500000E1
7.763786250E0,4.687500000E1
7.806452917E0,4.687500000E1
7.849119583E0,4.687500000E1
7.891786250E0,4.687500000E1
7.934452917E0,4.687500000E1
7.977119583E0,4.687500000E1
8.019786250E0,2.343750000E1
8.062452917E0,7.031250000E1
8.105119583E0,1.640625000E2
8.147786250E0,7.031250000E1
8.190452917E0,2.343750000E1
8.233119583E0,4.687500000E1
8.275786250E0,4.687500000E1
8.318452917E0,4.687500000E1
8.361119583E0,7.031250000E1
8.403786250E0,7.031250000E1
8.446452917E0,7.031250000E1
8.489119583E0,4.687500000E1
8.531786250E0,7.031250000E1
8.574452917E0,9.375000000E1
8.617119583E0,4.687500000E1
8.659786250E0,4.687500000E1
8.702452917E0,9.375000000E1
8.745119583E0,4.687500000E1
8.787786250E0,7.031250000E1
8.830452917E0,4.687500000E1
8.873119583E0,4.687500000E1
8.915786250E0,2.343750000E1
8.958452917E0,4.687500000E1
9.001119583E0,4.687500000E1
9.043786250E0,2.343750000E1
9.086452917E0,4.687500000E1
9.129119583E0,5.859375000E2
9.171786250E0,5.859375000E2
9.214452917E0,5.859375000E2
9.257119583E0,5.859375000E2
9.299786250E0,5.859375000E2
9.342452917E0,5.859375000E2
9.385119583E0,5.859375000E2
9.427786250E0,5.859375000E2
9.470452917E0,5.859375000E2
9.513119583E0,5.859375000E2
9.555786250E0,5.859375000E2
9.598452917E0,5.859375000E2
9.641119583E0,5.859375000E2
9.683786250E0,5.859375000E2
9.726452917E0,5.859375000E2
9.769119583E0,5.859375000E2
9.811786250E0,4.687500000E2
9.854452917E0,4.687500000E2
9.897119583E0,4.687500000E2
9.939786250E0,4.687500000E2
9.982452917E0,4.687500000E2
1.002511958E1,4.687500000E2
1.006778625E1,4.687500000E2
1.011045292E1,4.687500000E2
1.015311958E1,4.687500000E2
1.019578625E1,4.687500000E2
