"Time (s)","Recording (a.u.)"
0.000000000E0,3.370990604E-2
2.083333333E-5,3.303853422E-2
4.166666667E-5,3.288111836E-2
6.250000000E-5,3.242874518E-2
8.333333333E-5,3.196576610E-2
1.041666667E-4,3.221815079E-2
1.250000000E-4,3.257488459E-2
1.458333333E-4,3.291790187E-2
1.666666667E-4,3.311375156E-2
1.875000000E-4,3.331146017E-2
2.083333333E-4,3.375410289E-2
2.291666667E-4,3.449726477E-2
2.500000000E-4,3.541590273E-2
2.708333333E-4,3.589834273E-2
2.916666667E-4,3.629593924E-2
3.125000000E-4,3.688276932E-2
3.333333333E-4,3.723270819E-2
3.541666667E-4,3.790458664E-2
3.750000000E-4,3.827189654E-2
3.958333333E-4,3.763683140E-2
4.166666667E-4,3.777144849E-2
4.375000000E-4,3.829403222E-2
4.583333333E-4,3.793566674E-2
4.791666667E-4,3.787809983E-2
5.000000000E-4,3.796040639E-2
5.208333333E-4,3.761116415E-2
5.416666667E-4,3.762840480E-2
5.625000000E-4,3.760106489E-2
5.833333333E-4,3.642147779E-2
6.041666667E-4,3.478056565E-2
6.250000000E-4,3.329337388E-2
6.458333333E-4,3.162094578E-2
6.666666667E-4,3.040298820E-2
6.875000000E-4,2.958877012E-2
7.083333333E-4,2.895025909E-2
7.291666667E-4,2.843579464E-2
7.500000000E-4,2.753246762E-2
7.708333333E-4,2.701174840E-2
7.916666667E-4,2.741947770E-2
8.125000000E-4,2.778447419E-2
8.333333333E-4,2.759093232E-2
8.541666667E-4,2.749397233E-2
8.750000000E-4,2.754967473E-2
8.958333333E-4,2.763628587E-2
9.166666667E-4,2.794772387E-2
9.375000000E-4,2.853235975E-2
9.583333333E-4,2.968677320E-2
9.791666667E-4,3.071625531E-2
1.000000000E-3,3.143038601E-2
1.020833333E-3,3.218763322E-2
1.041666667E-3,3.214053065E-2
1.062500000E-3,3.186025098E-2
1.083333333E-3,3.246220946E-2
1.104166667E-3,3.307424486E-2
1.125000000E-3,3.313188255E-2
1.145833333E-3,3.354832530E-2
