"Time (s)","Recording (a.u.)"
0.000000000E0,-1.451752963E-3
2.083333333E-5,-1.804674393E-3
4.166666667E-5,-2.072512172E-3
6.250000000E-5,-1.884451020E-3
8.333333333E-5,-2.029316267E-3
1.041666667E-4,-2.132572234E-3
1.250000000E-4,-2.284757094E-3
1.458333333E-4,-2.281654393E-3
1.666666667E-4,-1.867899788E-3
1.875000000E-4,-1.868481399E-3
2.083333333E-4,-2.016647952E-3
2.291666667E-4,-2.109293360E-3
2.500000000E-4,-2.107291715E-3
2.708333333E-4,-2.104012994E-3
2.916666667E-4,-2.251381287E-3
3.125000000E-4,-2.301875735E-3
3.333333333E-4,-2.168162260E-3
3.541666667E-4,-1.985173207E-3
3.750000000E-4,-2.159369877E-3
3.958333333E-4,-2.199444920E-3
4.166666667E-4,-2.093010582E-3
4.375000000E-4,-2.232002094E-3
4.583333333E-4,-2.346683759E-3
4.791666667E-4,-2.871980425E-3
5.000000000E-4,-3.728396725E-3
5.208333333E-4,-4.120317753E-3
5.416666667E-4,-4.328586627E-3
5.625000000E-4,-4.829409532E-3
5.833333333E-4,-5.103825592E-3
6.041666667E-4,-5.272022448E-3
6.250000000E-4,-5.552174523E-3
6.458333333E-4,-5.496049300E-3
6.666666667E-4,-5.409747362E-3
6.875000000E-4,-5.363837350E-3
7.083333333E-4,-5.160080735E-3
7.291666667E-4,-5.236751400E-3
7.500000000E-4,-5.487568676E-3
7.708333333E-4,-5.483929534E-3
7.916666667E-4,-5.587041844E-3
8.125000000E-4,-5.801185500E-3
8.333333333E-4,-5.992119201E-3
8.541666667E-4,-6.278512068E-3
8.750000000E-4,-6.323532201E-3
8.958333333E-4,-6.393502466E-3
9.166666667E-4,-6.634110119E-3
9.375000000E-4,-6.530157290E-3
9.583333333E-4,-6.192297675E-3
9.791666667E-4,-6.058273837E-3
1.000000000E-3,-6.175644230E-3
1.020833333E-3,-6.397132762E-3
1.041666667E-3,-6.467289291E-3
1.062500000E-3,-5.986910313E-3
1.083333333E-3,-5.189112853E-3
1.104166667E-3,-4.575812258E-3
1.125000000E-3,-4.546448588E-3
1.145833333E-3,-4.938759841E-3
1.166666667E-3,-5.039440002E-3
1.187500000E-3,-5.188704468E-3
1.208333333E-3,-5.156150553E-3
1.229166667E-3,-4.844178911E-3
1.250000000E-3,-5.183372647E-3
1.270833333E-3,-5.560256541E-3
1.291666667E-3,-5.398765672E-3
1.312500000E-3,-4.918327555E-3
1.333333333E-3,-4.341572989E-3
1.354166667E-3,-3.926140256E-3
1.375000000E-3,-3.709291341E-3
1.395833333E-3,-3.539557569E-3
1.416666667E-3,-3.212296870E-3
1.437500000E-3,-2.957228571E-3
1.458333333E-3,-2.525360556E-3
1.479166667E-3,-1.741215354E-3
1.500000000E-3,-9.308496374E-4
1.520833333E-3,-1.652409264E-4
1.541666667E-3,2.417977666E-4
1.562500000E-3,4.559512017E-4
1.583333333E-3,8.313813014E-4
1.604166667E-3,1.307945349E-3
1.625000000E-3,2.025437541E-3
1.645833333E-3,2.587400842E-3
1.666666667E-3,2.409872366E-3
1.687500000E-3,2.075766679E-3
1.708333333E-3,1.830896595E-3
1.729166667E-3,1.246274915E-3
1.750000000E-3,8.181253215E-4
1.770833333E-3,4.833018174E-4
1.791666667E-3,-4.583976261E-5
1.812500000E-3,-5.978007102E-4
1.833333333E-3,-1.432186924E-3
1.854166667E-3,-2.137442585E-3
1.875000000E-3,-2.749472857E-3
1.895833333E-3,-3.389373189E-3
1.916666667E-3,-3.704378847E-3
1.937500000E-3,-3.973072395E-3
1.958333333E-3,-4.142310470E-3
1.979166667E-3,-4.243815783E-3
2.000000000E-3,-4.105273169E-3
2.020833333E-3,-3.706437070E-3
2.041666667E-3,-3.463754430E-3
2.062500000E-3,-3.120940179E-3
2.083333333E-3,-2.998923883E-3
2.104166667E-3,-3.332815832E-3
2.125000000E-3,-3.722080961E-3
2.145833333E-3,-3.904419485E-3
