"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,1.658333942E0
4.687500000E1,1.203731983E1
7.031250000E1,3.024898552E0
9.375000000E1,3.591715264E0
1.171875000E2,9.001920738E-1
1.406250000E2,2.837561125E0
1.640625000E2,1.864329534E0
1.875000000E2,2.048459503E0
2.109375000E2,2.334612302E0
2.343750000E2,7.854586164E-1
2.578125000E2,1.875707723E0
2.812500000E2,1.320238285E0
3.046875000E2,9.895955419E-1
3.281250000E2,2.015318754E0
3.515625000E2,2.242526398E0
3.750000000E2,1.063319449E0
3.984375000E2,1.455128876E0
4.218750000E2,1.392828749E0
4.453125000E2,8.671561607E-1
4.687500000E2,1.229566131E0
4.921875000E2,1.295646313E0
5.156250000E2,8.836972988E-1
5.390625000E2,7.205792949E-1
5.625000000E2,5.797720632E-1
5.859375000E2,1.034984987E0
6.093750000E2,5.233444276E-1
6.328125000E2,7.197247509E-1
6.562500000E2,6.523057827E-1
6.796875000E2,8.186605704E-2
7.031250000E2,3.904050256E-1
7.265625000E2,1.272192399E0
7.500000000E2,1.480267941E0
7.734375000E2,1.481055613E-1
7.968750000E2,7.459177412E-1
8.203125000E2,3.031577931E-1
8.437500000E2,1.577159329E-1
8.671875000E2,8.298117615E-1
8.906250000E2,1.961933011E-1
9.140625000E2,6.258370220E-1
9.375000000E2,2.689193606E-1
9.609375000E2,6.314552200E-1
9.843750000E2,2.621132483E-1
1.007812500E3,3.915587913E-1
1.031250000E3,2.217971866E-1
1.054687500E3,7.386101074E-2
1.078125000E3,3.405532637E-1
1.101562500E3,1.117765027E-1
1.125000000E3,1.441504699E-1
1.148437500E3,1.922285846E-1
1.171875000E3,1.294341601E-1
1.195312500E3,2.581172690E-1
1.218750000E3,2.461407235E-1
1.242187500E3,3.655360407E-1
1.265625000E3,2.956398069E-1
1.289062500E3,3.282307004E-1
1.312500000E3,3.887935774E-1
1.335937500E3,3.675506488E-1
1.359375000E3,3.854599849E-1
1.382812500E3,4.100836252E-1
1.406250000E3,8.001503000E-2
1.429687500E3,2.447312790E-1
1.453125000E3,1.448376785E-1
1.476562500E3,8.186527448E-2
1.500000000E3,3.567722027E-1
1.523437500E3,4.151086997E-1
1.546875000E3,3.145800503E-1
1.570312500E3,2.287342268E-1
1.593750000E3,8.758479339E-2
1.617187500E3,5.167592466E-2
1.640625000E3,3.111081264E-1
1.664062500E3,1.517656022E-1
