"Time (s)","Peak-Frequency"
5.044531250E-1,2.343750000E1
5.471197917E-1,4.687500000E1
6.132725000E-1,4.687500000E1
6.559391667E-1,2.343750000E1
7.206950416E-1,2.343750000E1
7.633617083E-1,2.343750000E1
8.060283750E-1,4.687500000E1
8.486950416E-1,2.343750000E1
8.913617083E-1,2.343750000E1
9.340283750E-1,2.343750000E1
9.766950416E-1,2.343750000E1
1.019361708E0,2.343750000E1
1.062028375E0,2.343750000E1
1.104695042E0,2.343750000E1
1.147361708E0,2.343750000E1
1.190028375E0,2.343750000E1
1.232695042E0,4.687500000E1
1.275361708E0,2.343750000E1
1.320779417E0,2.343750000E1
1.363446083E0,2.343750000E1
1.406112750E0,2.343750000E1
1.448779417E0,2.343750000E1
1.491446083E0,4.687500000E1
1.534112750E0,2.343750000E1
1.576779417E0,2.343750000E1
1.619785542E0,2.343750000E1
1.662452208E0,2.343750000E1
1.705118875E0,2.343750000E1
1.747785542E0,4.687500000E1
1.790452208E0,2.343750000E1
1.833118875E0,2.343750000E1
1.875785542E0,2.343750000E1
1.918452208E0,2.343750000E1
1.961118875E0,4.687500000E1
2.003785542E0,1.171875000E2
2.046452208E0,4.687500000E1
2.089118875E0,4.687500000E1
2.131785542E0,4.687500000E1
2.174452208E0,2.343750000E1
2.217118875E0,4.687500000E1
2.259785542E0,2.343750000E1
2.302452208E0,2.343750000E1
2.345118875E0,2.343750000E1
2.387785542E0,2.343750000E1
2.430452208E0,2.343750000E1
2.473118875E0,2.343750000E1
2.516904583E0,2.343750000E1
2.559571250E0,2.343750000E1
2.602237917E0,2.343750000E1
2.644904583E0,4.687500000E1
2.687571250E0,2.343750000E1
2.730237917E0,4.687500000E1
2.772904583E0,2.343750000E1
2.815571250E0,2.343750000E1
2.858237917E0,2.343750000E1
2.900904583E0,2.343750000E1
2.943571250E0,2.343750000E1
2.986237917E0,2.343750000E1
3.028904583E0,2.343750000E1
3.071571250E0,2.343750000E1
3.114237917E0,2.343750000E1
3.156904583E0,2.343750000E1
3.199571250E0,2.343750000E1
3.246303125E0,2.343750000E1
3.288969792E0,2.343750000E1
3.331636458E0,2.343750000E1
3.374303125E0,2.343750000E1
3.416969792E0,4.687500000E1
3.459636458E0,2.343750000E1
3.502303125E0,4.687500000E1
3.544969792E0,2.343750000E1
3.587636458E0,2.343750000E1
3.630313583E0,4.687500000E1
3.672980250E0,4.687500000E1
3.715646917E0,2.343750000E1
3.758313583E0,2.343750000E1
3.800980250E0,2.343750000E1
3.843646917E0,2.343750000E1
3.886313583E0,7.031250000E1
3.928980250E0,4.687500000E1
3.971646917E0,6.093750000E2
4.014313583E0,4.687500000E1
4.056980250E0,4.687500000E1
4.099646917E0,2.343750000E1
4.142313583E0,4.687500000E1
4.184980250E0,7.031250000E1
4.292884583E0,4.687500000E1
4.335551250E0,9.375000000E1
4.378217917E0,4.687500000E1
4.420884583E0,4.687500000E1
4.463551250E0,4.687500000E1
4.506217917E0,2.343750000E1
4.548884583E0,2.343750000E1
4.591551250E0,2.343750000E1
4.634217917E0,4.687500000E1
4.676884583E0,2.343750000E1
4.719551250E0,2.343750000E1
4.762217917E0,7.031250000E1
4.804884583E0,4.687500000E1
4.847551250E0,4.687500000E1
4.890217917E0,4.687500000E1
4.932884583E0,4.687500000E1
4.975551250E0,4.687500000E1
5.018217917E0,9.375000000E1
5.060884583E0,4.687500000E1
5.103551250E0,4.687500000E1
5.146217917E0,7.031250000E1
5.188884583E0,4.687500000E1
5.231551250E0,2.343750000E1
5.274217917E0,4.687500000E1
5.316884583E0,2.343750000E1
5.359551250E0,2.343750000E1
5.402217917E0,7.031250000E1
5.444884583E0,4.687500000E1
5.487551250E0,4.687500000E1
5.530217917E0,2.343750000E1
5.572884583E0,4.687500000E1
5.615551250E0,4.687500000E1
5.658217917E0,4.687500000E1
5.700884583E0,4.687500000E1
5.743551250E0,4.687500000E1
5.786217917E0,2.343750000E1
5.828884583E0,7.031250000E1
5.871551250E0,9.375000000E1
5.914217917E0,2.343750000E1
5.956884583E0,2.343750000E1
5.999551250E0,2.343750000E1
6.042217917E0,2.343750000E1
6.084884583E0,7.031250000E1
6.127551250E0,7.031250000E1
6.170217917E0,7.031250000E1
6.212884583E0,2.343750000E1
6.255551250E0,2.343750000E1
6.298217917E0,2.343750000E1
6.340884583E0,7.031250000E1
6.383551250E0,4.687500000E1
6.426217917E0,7.031250000E1
6.468884583E0,2.343750000E1
6.511551250E0,2.343750000E1
6.554217917E0,4.687500000E1
6.596884583E0,1.406250000E2
6.639551250E0,1.406250000E2
6.682217917E0,4.687500000E1
6.724884583E0,4.687500000E1
6.767551250E0,2.343750000E1
6.810217917E0,4.687500000E1
6.852884583E0,4.687500000E1
6.895551250E0,2.343750000E1
6.938217917E0,2.343750000E1
6.980884583E0,2.343750000E1
7.023551250E0,2.343750000E1
7.066217917E0,2.343750000E1
7.108884583E0,2.343750000E1
7.151551250E0,2.343750000E1
7.194217917E0,2.343750000E1
7.236884583E0,2.343750000E1
7.279551250E0,2.343750000E1
7.322217917E0,2.343750000E1
7.364884583E0,2.343750000E1
7.407551250E0,2.343750000E1
7.450217917E0,2.343750000E1
7.492884583E0,2.343750000E1
7.535551250E0,2.343750000E1
7.578217917E0,2.343750000E1
7.620884583E0,2.343750000E1
7.663551250E0,4.687500000E1
7.706217917E0,2.343750000E1
7.748884583E0,2.343750000E1
7.791551250E0,2.343750000E1
7.834217917E0,4.687500000E1
7.876884583E0,4.687500000E1
7.919551250E0,2.343750000E1
7.962217917E0,2.343750000E1
8.004884583E0,2.343750000E1
8.047551250E0,2.343750000E1
8.090217917E0,2.343750000E1
8.132884583E0,2.343750000E1
8.175551250E0,2.343750000E1
8.218217917E0,2.343750000E1
8.260884583E0,2.343750000E1
8.303551250E0,2.343750000E1
8.346217917E0,2.343750000E1
8.388884583E0,2.343750000E1
8.431551250E0,2.343750000E1
8.474217917E0,4.687500000E1
8.516884583E0,2.343750000E1
8.559551250E0,2.343750000E1
8.602217917E0,2.343750000E1
8.644884583E0,2.343750000E1
8.687551250E0,2.343750000E1
8.730217917E0,4.687500000E1
8.772884583E0,2.343750000E1
8.815551250E0,2.343750000E1
8.858217917E0,4.687500000E1
8.900884583E0,4.687500000E1
8.943551250E0,2.343750000E1
8.986217917E0,2.343750000E1
9.028884583E0,2.343750000E1
9.071551250E0,2.343750000E1
9.114217917E0,2.343750000E1
9.156884583E0,2.343750000E1
9.199551250E0,2.343750000E1
9.242217917E0,2.343750000E1
9.284884583E0,2.343750000E1
9.327551250E0,2.343750000E1
9.370217917E0,2.343750000E1
9.412884583E0,4.687500000E1
9.455551250E0,4.687500000E1
9.498217917E0,4.687500000E1
9.540884583E0,2.343750000E1
9.583551250E0,2.343750000E1
9.626217917E0,4.687500000E1
9.668884583E0,4.687500000E1
9.711551250E0,4.687500000E1
9.754217917E0,2.343750000E1
9.796884583E0,4.687500000E1
9.839551250E0,2.343750000E1
9.882217917E0,7.031250000E1
9.924884583E0,4.687500000E1
9.967551250E0,4.687500000E1
1.001021792E1,4.687500000E1
1.005288458E1,1.875000000E2
1.009555125E1,4.687500000E1
1.013821792E1,2.343750000E1
1.018088458E1,2.343750000E2
1.022355125E1,7.031250000E1
1.026621792E1,3.046875000E2
1.030888458E1,2.343750000E1
1.035155125E1,3.046875000E2
1.039421792E1,3.046875000E2
1.043688458E1,3.046875000E2
1.047955125E1,4.687500000E1
1.052221792E1,3.046875000E2
1.056488458E1,4.687500000E1
1.060755125E1,3.046875000E2
1.065021792E1,4.687500000E1
1.069288458E1,3.046875000E2
1.073555125E1,3.046875000E2
1.077821792E1,3.046875000E2
1.082088458E1,3.046875000E2
1.086355125E1,3.046875000E2
1.090621792E1,4.687500000E1
1.094888458E1,4.687500000E1
1.099155125E1,1.875000000E2
1.103421792E1,4.687500000E1
1.107688458E1,4.687500000E1
1.111955125E1,4.687500000E1
1.116221792E1,4.687500000E1
1.120488458E1,4.687500000E1
1.124755125E1,2.343750000E1
1.129021792E1,2.343750000E1
1.133288458E1,1.875000000E2
1.137555125E1,1.875000000E2
1.141821792E1,3.046875000E2
