"Time (s)","Recording (a.u.)"
0.000000000E0,-1.881047734E-3
2.083333333E-5,-2.975263633E-3
4.166666667E-5,-3.390560858E-3
6.250000000E-5,-3.714790568E-3
8.333333333E-5,-3.572267946E-3
1.041666667E-4,-4.045121837E-3
1.250000000E-4,-4.122621845E-3
1.458333333E-4,-3.100387519E-3
1.666666667E-4,-2.690674504E-3
1.875000000E-4,-2.659623045E-3
2.083333333E-4,-2.898560138E-3
2.291666667E-4,-3.733383259E-3
2.500000000E-4,-3.947436810E-3
2.708333333E-4,-3.122346010E-3
2.916666667E-4,-2.681905869E-3
3.125000000E-4,-3.051045351E-3
3.333333333E-4,-3.346751211E-3
3.541666667E-4,-3.880223259E-3
3.750000000E-4,-5.408472382E-3
3.958333333E-4,-5.898279604E-3
4.166666667E-4,-4.877388012E-3
4.375000000E-4,-4.175914917E-3
4.583333333E-4,-2.939159051E-3
4.791666667E-4,-1.728691859E-3
5.000000000E-4,-4.506061086E-4
5.208333333E-4,1.687549753E-3
5.416666667E-4,2.228076104E-3
5.625000000E-4,2.174807014E-3
5.833333333E-4,2.647220157E-3
6.041666667E-4,2.191581298E-3
6.250000000E-4,2.643474378E-3
6.458333333E-4,4.520968534E-3
6.666666667E-4,5.802584346E-3
6.875000000E-4,6.670899689E-3
7.083333333E-4,7.352028042E-3
7.291666667E-4,7.983374409E-3
7.500000000E-4,8.992481977E-3
7.708333333E-4,1.010705344E-2
7.916666667E-4,1.106810011E-2
8.125000000E-4,1.148444414E-2
8.333333333E-4,1.185837947E-2
8.541666667E-4,1.184667461E-2
8.750000000E-4,1.198134013E-2
8.958333333E-4,1.315002330E-2
9.166666667E-4,1.394465752E-2
9.375000000E-4,1.454422250E-2
9.583333333E-4,1.554454863E-2
9.791666667E-4,1.607912406E-2
1.000000000E-3,1.573269069E-2
1.020833333E-3,1.548466831E-2
1.041666667E-3,1.559216343E-2
1.062500000E-3,1.550363936E-2
1.083333333E-3,1.534095034E-2
1.104166667E-3,1.493488438E-2
1.125000000E-3,1.480307244E-2
1.145833333E-3,1.519645005E-2
1.166666667E-3,1.498398371E-2
1.187500000E-3,1.488740742E-2
1.208333333E-3,1.566386968E-2
1.229166667E-3,1.605722308E-2
1.250000000E-3,1.676756702E-2
1.270833333E-3,1.737822220E-2
1.291666667E-3,1.673320681E-2
1.312500000E-3,1.627865434E-2
1.333333333E-3,1.624694653E-2
1.354166667E-3,1.614803076E-2
1.375000000E-3,1.562290080E-2
1.395833333E-3,1.549239829E-2
1.416666667E-3,1.643259637E-2
1.437500000E-3,1.721731946E-2
1.458333333E-3,1.790994965E-2
1.479166667E-3,1.831332594E-2
1.500000000E-3,1.823771745E-2
1.520833333E-3,1.863195002E-2
1.541666667E-3,1.930210553E-2
1.562500000E-3,1.960133016E-2
1.583333333E-3,2.005176432E-2
1.604166667E-3,2.128888108E-2
1.625000000E-3,2.174328826E-2
1.645833333E-3,2.127903141E-2
1.666666667E-3,2.130756155E-2
1.687500000E-3,2.118830569E-2
1.708333333E-3,2.109389007E-2
1.729166667E-3,2.128534764E-2
1.750000000E-3,2.133412473E-2
1.770833333E-3,2.128133923E-2
1.791666667E-3,2.178046480E-2
1.812500000E-3,2.267605439E-2
1.833333333E-3,2.266798541E-2
1.854166667E-3,2.253518999E-2
1.875000000E-3,2.213669382E-2
1.895833333E-3,2.171546593E-2
1.916666667E-3,2.192068473E-2
1.937500000E-3,2.080998756E-2
1.958333333E-3,1.925053447E-2
1.979166667E-3,1.846471801E-2
2.000000000E-3,1.807641983E-2
2.020833333E-3,1.798474416E-2
2.041666667E-3,1.804016531E-2
2.062500000E-3,1.843024977E-2
2.083333333E-3,1.802533306E-2
2.104166667E-3,1.770998724E-2
2.125000000E-3,1.846747287E-2
2.145833333E-3,1.875568554E-2
2.166666667E-3,1.875598170E-2
2.187500000E-3,1.904791966E-2
2.208333333E-3,1.994241215E-2
2.229166667E-3,2.032604069E-2
2.250000000E-3,2.017721161E-2
2.270833333E-3,2.101935074E-2
2.291666667E-3,2.071054466E-2
2.312500000E-3,2.027171105E-2
2.333333333E-3,2.083368599E-2
2.354166667E-3,2.050117776E-2
2.375000000E-3,2.046057209E-2
2.395833333E-3,1.995573007E-2
2.416666667E-3,1.929720491E-2
2.437500000E-3,1.942574792E-2
2.458333333E-3,1.949696057E-2
2.479166667E-3,2.030945756E-2
2.500000000E-3,2.101591788E-2
2.520833333E-3,2.098807134E-2
2.541666667E-3,2.115962654E-2
2.562500000E-3,2.124798112E-2
2.583333333E-3,2.037742361E-2
2.604166667E-3,1.998927258E-2
2.625000000E-3,1.951427013E-2
2.645833333E-3,1.813730597E-2
2.666666667E-3,1.781887375E-2
2.687500000E-3,1.711482368E-2
2.708333333E-3,1.663460769E-2
2.729166667E-3,1.689372398E-2
2.750000000E-3,1.618088409E-2
2.770833333E-3,1.572175138E-2
2.791666667E-3,1.556809619E-2
2.812500000E-3,1.554260682E-2
2.833333333E-3,1.559207030E-2
2.854166667E-3,1.575704291E-2
2.875000000E-3,1.680962928E-2
2.895833333E-3,1.750764064E-2
2.916666667E-3,1.679972000E-2
2.937500000E-3,1.622425392E-2
2.958333333E-3,1.682810299E-2
2.979166667E-3,1.705429703E-2
3.000000000E-3,1.683016680E-2
3.020833333E-3,1.705310680E-2
3.041666667E-3,1.738952100E-2
3.062500000E-3,1.727291197E-2
3.083333333E-3,1.741769724E-2
3.104166667E-3,1.904496737E-2
3.125000000E-3,1.938850433E-2
3.145833333E-3,1.850989088E-2
3.166666667E-3,1.798737794E-2
3.187500000E-3,1.675944589E-2
3.208333333E-3,1.626279205E-2
3.229166667E-3,1.536253281E-2
3.250000000E-3,1.443007961E-2
3.270833333E-3,1.471492834E-2
3.291666667E-3,1.453600824E-2
3.312500000E-3,1.462270692E-2
3.333333333E-3,1.429132558E-2
3.354166667E-3,1.356256101E-2
3.375000000E-3,1.357451268E-2
3.395833333E-3,1.344902441E-2
3.416666667E-3,1.262715645E-2
3.437500000E-3,1.180985197E-2
3.458333333E-3,1.178025827E-2
3.479166667E-3,1.146773249E-2
3.500000000E-3,1.149537601E-2
3.520833333E-3,1.259416528E-2
3.541666667E-3,1.369516179E-2
3.562500000E-3,1.438288949E-2
3.583333333E-3,1.429000497E-2
3.604166667E-3,1.439321600E-2
3.625000000E-3,1.478185318E-2
3.645833333E-3,1.474884432E-2
3.666666667E-3,1.530023199E-2
3.687500000E-3,1.532189641E-2
3.708333333E-3,1.449710038E-2
3.729166667E-3,1.454340108E-2
3.750000000E-3,1.483737491E-2
3.770833333E-3,1.472943090E-2
3.791666667E-3,1.407992933E-2
3.812500000E-3,1.392218750E-2
3.833333333E-3,1.359727979E-2
3.854166667E-3,1.232912764E-2
3.875000000E-3,1.194729749E-2
3.895833333E-3,1.124939136E-2
3.916666667E-3,1.123241335E-2
3.937500000E-3,1.231224276E-2
3.958333333E-3,1.228869054E-2
3.979166667E-3,1.193694770E-2
4.000000000E-3,1.116320863E-2
4.020833333E-3,1.029570121E-2
4.041666667E-3,9.482974187E-3
4.062500000E-3,8.777203038E-3
4.083333333E-3,8.134614676E-3
4.104166667E-3,6.940694526E-3
4.125000000E-3,6.661136635E-3
4.145833333E-3,6.726971827E-3
4.166666667E-3,5.688984413E-3
4.187500000E-3,5.076738540E-3
4.208333333E-3,5.530177616E-3
4.229166667E-3,4.973510280E-3
4.250000000E-3,3.780188737E-3
4.270833333E-3,2.587161260E-3
4.291666667E-3,1.366060460E-3
4.312500000E-3,1.149346703E-3
4.333333333E-3,3.767018206E-4
