"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,6.675925832E0
4.687500000E1,1.576759690E1
7.031250000E1,1.632196455E1
9.375000000E1,8.101992254E0
1.171875000E2,5.067734720E0
1.406250000E2,5.665016840E0
1.640625000E2,6.115059994E0
1.875000000E2,6.691770829E0
2.109375000E2,2.442239265E0
2.343750000E2,3.536312565E0
2.578125000E2,2.759174994E-1
2.812500000E2,2.717518229E0
3.046875000E2,4.945624839E0
3.281250000E2,3.426094023E0
3.515625000E2,1.176253071E0
3.750000000E2,7.134536010E-1
3.984375000E2,2.509803131E0
4.218750000E2,2.487371149E0
4.453125000E2,1.776029645E0
4.687500000E2,2.306133345E-1
4.921875000E2,1.259047354E0
5.156250000E2,4.472434904E-1
5.390625000E2,6.808728406E-1
5.625000000E2,6.813484714E-1
5.859375000E2,4.692934797E-1
6.093750000E2,1.760368594E0
6.328125000E2,5.983191764E-1
6.562500000E2,2.047980045E-1
6.796875000E2,2.780386098E-1
7.031250000E2,9.670040221E-1
7.265625000E2,2.317978984E0
7.500000000E2,1.442124116E0
7.734375000E2,9.769111698E-1
7.968750000E2,4.361550140E-1
8.203125000E2,4.992381984E-1
8.437500000E2,3.482814245E-1
8.671875000E2,1.429343805E-1
8.906250000E2,1.180422453E0
9.140625000E2,6.073903104E-1
9.375000000E2,6.309616963E-1
9.609375000E2,1.772553079E0
9.843750000E2,1.188437254E0
1.007812500E3,1.187779613E0
1.031250000E3,1.833003096E0
1.054687500E3,2.512220871E0
1.078125000E3,1.558868794E0
1.101562500E3,5.634462110E-1
1.125000000E3,5.805709683E-1
1.148437500E3,1.187250522E0
1.171875000E3,1.011116957E0
1.195312500E3,4.612483755E-1
1.218750000E3,3.345262784E-1
1.242187500E3,2.251258157E-1
1.265625000E3,4.524217131E-1
1.289062500E3,6.089901622E-1
1.312500000E3,3.942876733E-1
1.335937500E3,1.915648441E-1
1.359375000E3,5.828206895E-1
1.382812500E3,5.908139817E-1
1.406250000E3,2.892526449E-1
1.429687500E3,1.277026221E-1
1.453125000E3,2.691076208E-1
1.476562500E3,6.457692316E-1
1.500000000E3,7.973796399E-1
1.523437500E3,9.972054757E-1
1.546875000E3,2.372501101E-1
1.570312500E3,1.899953291E-1
1.593750000E3,1.800165219E-1
1.617187500E3,5.331186519E-1
1.640625000E3,5.505484063E-1
1.664062500E3,6.911739479E-1
1.687500000E3,3.990883845E-1
1.710937500E3,1.762701991E-1
1.734375000E3,2.986720820E-1
1.757812500E3,4.339622180E-1
1.781250000E3,3.244106234E-1
1.804687500E3,3.253172877E-2
1.828125000E3,2.250484570E-1
1.851562500E3,1.356019311E-1
1.875000000E3,3.380730379E-2
1.898437500E3,6.426093070E-2
1.921875000E3,2.404030225E-1
1.945312500E3,7.480042179E-2
1.968750000E3,2.482308647E-1
1.992187500E3,6.368462235E-2
2.015625000E3,1.289841770E-1
2.039062500E3,1.319237454E-1
2.062500000E3,2.719646880E-1
2.085937500E3,1.816356968E-1
2.109375000E3,1.143979885E-1
2.132812500E3,1.118565253E-1
2.156250000E3,1.384075611E-1
2.179687500E3,2.365523906E-1
2.203125000E3,4.335974840E-1
2.226562500E3,4.794124848E-2
2.250000000E3,2.469039798E-1
2.273437500E3,2.188540845E-1
2.296875000E3,1.554212218E-1
2.320312500E3,1.271788885E-1
2.343750000E3,1.082860285E-1
2.367187500E3,1.088682136E-1
2.390625000E3,1.763032643E-1
2.414062500E3,1.079577385E-1
2.437500000E3,4.533794426E-2
2.460937500E3,2.430561507E-1
2.484375000E3,3.397124384E-1
2.507812500E3,1.073915726E-1
2.531250000E3,1.353994244E-1
2.554687500E3,1.183758498E-1
2.578125000E3,6.968287561E-2
2.601562500E3,9.252699321E-2
2.625000000E3,6.372203124E-2
2.648437500E3,1.066738897E-1
2.671875000E3,8.196445469E-2
2.695312500E3,5.907574575E-2
2.718750000E3,1.652079127E-1
2.742187500E3,1.575000528E-1
2.765625000E3,1.554240644E-1
2.789062500E3,3.062479329E-2
2.812500000E3,3.439368801E-2
2.835937500E3,7.842240138E-2
2.859375000E3,2.263639724E-2
2.882812500E3,5.002504694E-2
2.906250000E3,2.777002703E-2
2.929687500E3,1.919209334E-1
2.953125000E3,1.791816800E-1
2.976562500E3,8.065059000E-2
3.000000000E3,8.306691465E-2
3.023437500E3,9.598585902E-2
3.046875000E3,1.358150453E-1
3.070312500E3,1.244060395E-1
3.093750000E3,8.659464795E-2
3.117187500E3,8.920215532E-2
3.140625000E3,1.025489223E-1
3.164062500E3,1.128871644E-1
3.187500000E3,3.514714401E-2
3.210937500E3,1.588650256E-1
3.234375000E3,1.652570621E-2
3.257812500E3,4.020364426E-2
3.281250000E3,6.517769855E-2
3.304687500E3,8.866545563E-2
3.328125000E3,8.826834730E-2
3.351562500E3,7.302068858E-2
3.375000000E3,7.233424440E-2
3.398437500E3,5.182843873E-2
3.421875000E3,4.639888401E-2
3.445312500E3,4.715317945E-2
3.468750000E3,1.098777536E-1
3.492187500E3,5.249598099E-2
3.515625000E3,5.371024632E-2
3.539062500E3,9.996468370E-2
3.562500000E3,8.773806551E-2
3.585937500E3,1.096520293E-1
3.609375000E3,1.367547219E-1
3.632812500E3,4.418331237E-2
3.656250000E3,1.053377653E-1
3.679687500E3,5.201766428E-2
3.703125000E3,1.132571038E-1
3.726562500E3,2.999959173E-2
3.750000000E3,1.297120625E-1
3.773437500E3,1.007474156E-1
3.796875000E3,7.718590093E-2
3.820312500E3,5.532666408E-2
3.843750000E3,1.383971732E-1
3.867187500E3,1.126038687E-1
3.890625000E3,8.018394439E-2
3.914062500E3,4.657195177E-2
3.937500000E3,7.796815423E-2
3.960937500E3,7.986148133E-2
3.984375000E3,7.273402389E-2
4.007812500E3,8.748100398E-2
4.031250000E3,2.850726643E-2
4.054687500E3,8.021282014E-2
4.078125000E3,1.001437051E-1
4.101562500E3,3.427599742E-2
4.125000000E3,1.080720460E-1
4.148437500E3,2.731156749E-2
4.171875000E3,7.874206182E-2
4.195312500E3,1.148353084E-1
4.218750000E3,1.073584267E-1
