"Time (s)","Peak-Frequency"
4.567089166E-1,2.578125000E2
4.993755833E-1,2.109375000E2
5.645385417E-1,4.687500000E1
6.072052083E-1,1.640625000E2
6.718079167E-1,3.515625000E2
7.144745833E-1,3.046875000E2
7.571412500E-1,3.515625000E2
7.998079167E-1,2.812500000E2
8.424745833E-1,2.578125000E2
8.851412500E-1,3.281250000E2
9.278079167E-1,2.343750000E2
9.730996250E-1,2.812500000E2
1.015766292E0,3.281250000E2
1.058432958E0,3.046875000E2
1.101099625E0,2.578125000E2
1.143766292E0,2.578125000E2
1.186432958E0,2.812500000E2
1.229099625E0,3.281250000E2
1.275274958E0,2.109375000E2
1.317941625E0,2.578125000E2
1.360608292E0,2.812500000E2
1.403274958E0,2.578125000E2
1.445941625E0,2.109375000E2
1.488608292E0,2.578125000E2
1.531274958E0,2.109375000E2
1.573941625E0,3.046875000E2
1.616608292E0,1.875000000E2
1.659274958E0,2.578125000E2
1.701941625E0,2.578125000E2
1.744608292E0,2.578125000E2
1.787274958E0,2.578125000E2
1.841629583E0,2.812500000E2
1.884296250E0,2.578125000E2
1.926962917E0,2.812500000E2
1.969629583E0,2.812500000E2
2.012296250E0,2.578125000E2
2.054962917E0,3.046875000E2
2.097629583E0,2.578125000E2
2.140296250E0,2.578125000E2
2.182962917E0,2.812500000E2
2.225629583E0,2.812500000E2
2.268296250E0,3.046875000E2
2.310962917E0,2.343750000E2
2.353629583E0,3.046875000E2
2.396296250E0,2.812500000E2
2.438962917E0,2.812500000E2
2.481629583E0,2.578125000E2
2.524296250E0,3.281250000E2
2.566962917E0,3.046875000E2
2.609629583E0,2.812500000E2
2.652296250E0,2.812500000E2
2.694962917E0,3.046875000E2
2.737629583E0,2.578125000E2
2.780296250E0,2.812500000E2
2.835873208E0,2.109375000E2
2.878539875E0,4.687500000E1
2.921206542E0,2.578125000E2
2.963873208E0,2.343750000E2
3.006539875E0,2.343750000E2
3.049206542E0,2.812500000E2
3.091873208E0,2.812500000E2
3.134539875E0,2.812500000E2
3.177206542E0,2.109375000E2
3.219873208E0,4.687500000E1
3.262539875E0,2.812500000E2
3.305206542E0,2.812500000E2
3.347873208E0,2.109375000E2
3.390539875E0,3.046875000E2
3.433206542E0,2.812500000E2
3.475873208E0,4.687500000E1
