"Time (s)","Recording (a.u.)"
0.000000000E0,-8.589711040E-3
2.083333333E-5,-1.028792560E-2
4.166666667E-5,-1.218673121E-2
6.250000000E-5,-1.450278144E-2
8.333333333E-5,-1.694644056E-2
1.041666667E-4,-1.996743679E-2
1.250000000E-4,-2.321146056E-2
1.458333333E-4,-2.623881027E-2
1.666666667E-4,-2.844444662E-2
1.875000000E-4,-2.946583740E-2
2.083333333E-4,-3.030339256E-2
2.291666667E-4,-3.061315976E-2
2.500000000E-4,-3.130937368E-2
2.708333333E-4,-3.283629194E-2
2.916666667E-4,-3.375743702E-2
3.125000000E-4,-3.426818550E-2
3.333333333E-4,-3.447166085E-2
3.541666667E-4,-3.353114799E-2
3.750000000E-4,-3.161327541E-2
3.958333333E-4,-3.081417643E-2
4.166666667E-4,-3.125960752E-2
4.375000000E-4,-3.162843734E-2
4.583333333E-4,-3.224929795E-2
4.791666667E-4,-3.213346004E-2
5.000000000E-4,-2.990879864E-2
5.208333333E-4,-2.648843452E-2
5.416666667E-4,-2.362022921E-2
5.625000000E-4,-2.190136537E-2
5.833333333E-4,-2.085376531E-2
6.041666667E-4,-1.960591041E-2
6.250000000E-4,-1.856287941E-2
6.458333333E-4,-1.873847842E-2
6.666666667E-4,-1.908179000E-2
6.875000000E-4,-1.940066181E-2
7.083333333E-4,-1.993793994E-2
7.291666667E-4,-1.979184709E-2
7.500000000E-4,-1.965996809E-2
7.708333333E-4,-2.026503161E-2
7.916666667E-4,-2.085126564E-2
8.125000000E-4,-2.129295282E-2
8.333333333E-4,-2.241037041E-2
8.541666667E-4,-2.330059931E-2
8.750000000E-4,-2.252706885E-2
8.958333333E-4,-2.101008222E-2
9.166666667E-4,-1.970667392E-2
9.375000000E-4,-1.805095188E-2
9.583333333E-4,-1.642644219E-2
9.791666667E-4,-1.635207422E-2
1.000000000E-3,-1.731647365E-2
1.020833333E-3,-1.802179776E-2
1.041666667E-3,-1.844834164E-2
1.062500000E-3,-1.815480366E-2
1.083333333E-3,-1.672843844E-2
1.104166667E-3,-1.523709297E-2
1.125000000E-3,-1.523379236E-2
1.145833333E-3,-1.646118052E-2
1.166666667E-3,-1.758410968E-2
1.187500000E-3,-1.814833470E-2
1.208333333E-3,-1.799943671E-2
1.229166667E-3,-1.723442599E-2
1.250000000E-3,-1.640756056E-2
1.270833333E-3,-1.633226126E-2
1.291666667E-3,-1.765097305E-2
1.312500000E-3,-2.030405030E-2
1.333333333E-3,-2.281905524E-2
1.354166667E-3,-2.400505170E-2
1.375000000E-3,-2.433523163E-2
1.395833333E-3,-2.351992764E-2
1.416666667E-3,-2.234031260E-2
1.437500000E-3,-2.178962156E-2
1.458333333E-3,-2.069081552E-2
1.479166667E-3,-1.934463345E-2
1.500000000E-3,-1.728064753E-2
1.520833333E-3,-1.360926498E-2
1.541666667E-3,-1.077053696E-2
1.562500000E-3,-9.410761297E-3
1.583333333E-3,-8.553806692E-3
1.604166667E-3,-9.053667076E-3
1.625000000E-3,-9.683287703E-3
1.645833333E-3,-8.524600416E-3
1.666666667E-3,-6.945044734E-3
1.687500000E-3,-5.370962434E-3
1.708333333E-3,-2.853088081E-3
1.729166667E-3,-5.549350753E-4
1.750000000E-3,1.137574203E-3
1.770833333E-3,2.778554801E-3
1.791666667E-3,3.511095885E-3
1.812500000E-3,2.553574741E-3
1.833333333E-3,3.372059437E-4
1.854166667E-3,-1.750330324E-3
1.875000000E-3,-3.463998670E-3
1.895833333E-3,-5.085783079E-3
1.916666667E-3,-5.334966816E-3
1.937500000E-3,-4.564472940E-3
1.958333333E-3,-4.880470224E-3
1.979166667E-3,-5.886236206E-3
2.000000000E-3,-6.868214812E-3
2.020833333E-3,-9.031719528E-3
2.041666667E-3,-1.130007114E-2
2.062500000E-3,-1.211551204E-2
2.083333333E-3,-1.265897322E-2
2.104166667E-3,-1.343585644E-2
2.125000000E-3,-1.440976001E-2
2.145833333E-3,-1.582085714E-2
2.166666667E-3,-1.725140214E-2
2.187500000E-3,-1.851351932E-2
2.208333333E-3,-1.932911575E-2
2.229166667E-3,-1.972132176E-2
2.250000000E-3,-2.006931230E-2
2.270833333E-3,-2.020868286E-2
2.291666667E-3,-1.997903921E-2
2.312500000E-3,-2.014617994E-2
2.333333333E-3,-2.147455513E-2
2.354166667E-3,-2.261977643E-2
2.375000000E-3,-2.281517163E-2
2.395833333E-3,-2.277396806E-2
2.416666667E-3,-2.208122611E-2
2.437500000E-3,-2.120302990E-2
2.458333333E-3,-2.058388293E-2
2.479166667E-3,-1.948087104E-2
2.500000000E-3,-1.827605814E-2
2.520833333E-3,-1.758605987E-2
2.541666667E-3,-1.736546680E-2
2.562500000E-3,-1.806854829E-2
2.583333333E-3,-1.979194209E-2
2.604166667E-3,-2.096357197E-2
2.625000000E-3,-2.113349363E-2
2.645833333E-3,-2.126423270E-2
2.666666667E-3,-2.178101428E-2
2.687500000E-3,-2.355247363E-2
2.708333333E-3,-2.700649761E-2
2.729166667E-3,-3.112741932E-2
2.750000000E-3,-3.409333900E-2
2.770833333E-3,-3.516293317E-2
2.791666667E-3,-3.528771922E-2
2.812500000E-3,-3.479196876E-2
2.833333333E-3,-3.427457809E-2
2.854166667E-3,-3.468992189E-2
2.875000000E-3,-3.577240556E-2
2.895833333E-3,-3.742081672E-2
2.916666667E-3,-3.917602450E-2
2.937500000E-3,-4.039542377E-2
2.958333333E-3,-4.096695036E-2
2.979166667E-3,-4.088826478E-2
3.000000000E-3,-4.131270945E-2
3.020833333E-3,-4.296008497E-2
3.041666667E-3,-4.516192526E-2
3.062500000E-3,-4.713281244E-2
3.083333333E-3,-4.845892638E-2
3.104166667E-3,-4.918718711E-2
3.125000000E-3,-4.952290282E-2
3.145833333E-3,-5.016160384E-2
3.166666667E-3,-5.116872117E-2
3.187500000E-3,-5.218837783E-2
3.208333333E-3,-5.359666795E-2
3.229166667E-3,-5.477422476E-2
3.250000000E-3,-5.456893891E-2
3.270833333E-3,-5.337404832E-2
3.291666667E-3,-5.213715509E-2
3.312500000E-3,-5.067595094E-2
3.333333333E-3,-4.936388135E-2
3.354166667E-3,-4.890656844E-2
3.375000000E-3,-4.874078184E-2
3.395833333E-3,-4.859790951E-2
3.416666667E-3,-4.839835316E-2
3.437500000E-3,-4.807265848E-2
3.458333333E-3,-4.686229303E-2
3.479166667E-3,-4.417121783E-2
3.500000000E-3,-4.118067399E-2
3.520833333E-3,-3.879082948E-2
3.541666667E-3,-3.793963790E-2
3.562500000E-3,-3.906458616E-2
3.583333333E-3,-4.149889573E-2
3.604166667E-3,-4.402239248E-2
3.625000000E-3,-4.510917515E-2
3.645833333E-3,-4.506990314E-2
3.666666667E-3,-4.437484592E-2
3.687500000E-3,-4.359892011E-2
3.708333333E-3,-4.381003231E-2
3.729166667E-3,-4.421470314E-2
3.750000000E-3,-4.412294924E-2
3.770833333E-3,-4.367616028E-2
3.791666667E-3,-4.285236448E-2
3.812500000E-3,-4.166388884E-2
3.833333333E-3,-4.062470794E-2
3.854166667E-3,-4.020830616E-2
3.875000000E-3,-4.005102068E-2
3.895833333E-3,-4.040773958E-2
3.916666667E-3,-4.057746753E-2
3.937500000E-3,-3.972013667E-2
3.958333333E-3,-3.953011334E-2
3.979166667E-3,-3.995253146E-2
4.000000000E-3,-4.019606486E-2
4.020833333E-3,-4.144211113E-2
4.041666667E-3,-4.296426848E-2
4.062500000E-3,-4.375486076E-2
4.083333333E-3,-4.419118911E-2
4.104166667E-3,-4.432635382E-2
4.125000000E-3,-4.418032989E-2
4.145833333E-3,-4.391906410E-2
4.166666667E-3,-4.448606074E-2
4.187500000E-3,-4.503028840E-2
4.208333333E-3,-4.382691532E-2
4.229166667E-3,-4.197284207E-2
4.250000000E-3,-3.976257145E-2
4.270833333E-3,-3.703982756E-2
4.291666667E-3,-3.533529490E-2
4.312500000E-3,-3.473404422E-2
4.333333333E-3,-3.431860358E-2
4.354166667E-3,-3.395804018E-2
4.375000000E-3,-3.398095071E-2
4.395833333E-3,-3.381637484E-2
4.416666667E-3,-3.286689892E-2
4.437500000E-3,-3.252260387E-2
4.458333333E-3,-3.297233582E-2
4.479166667E-3,-3.286610916E-2
4.500000000E-3,-3.265622258E-2
4.520833333E-3,-3.255917504E-2
