"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.000225000E-2,-7.907424529E-2,1.590677825E-1,4.709055126E-2,1.837738167E-1
1.993125000E-2,-1.474416723E-1,1.778582486E-1,4.618423283E-2,2.355962365E-1
2.985925000E-2,-9.480346553E-2,1.853164269E-1,-2.478634715E-2,2.096288105E-1
3.978825000E-2,-1.355923537E-1,1.405828883E-1,2.294915199E-2,1.966608717E-1
4.971625000E-2,-1.270614214E-1,1.835097469E-1,1.006188869E-2,2.234315860E-1
5.964525000E-2,-9.154720595E-2,1.575637690E-1,2.846658468E-2,1.844385498E-1
6.957325000E-2,-1.475619148E-1,1.672523861E-1,-8.680776358E-3,2.232111897E-1
7.950225000E-2,-9.194583988E-2,1.748653695E-1,2.184519768E-2,1.987690811E-1
8.943125000E-2,-1.461137148E-1,1.704837219E-1,4.233501077E-2,2.284866959E-1
9.935925000E-2,-9.021947687E-2,1.812399492E-1,-1.755977333E-2,2.032137270E-1
1.092882500E-1,-1.374996606E-1,1.474554498E-1,3.960786939E-2,2.054703133E-1
1.192162500E-1,-1.322289165E-1,1.902826134E-1,-4.267297983E-3,2.317545450E-1
1.291452500E-1,-8.620139818E-2,1.571342362E-1,2.489335120E-2,1.809462024E-1
1.390732500E-1,-1.333306872E-1,1.496139677E-1,-5.927439451E-2,2.089853233E-1
1.490022500E-1,-1.051638911E-1,1.674957399E-1,7.199325800E-2,2.104692283E-1
1.589302500E-1,-1.630423725E-1,1.721406218E-1,3.050901711E-2,2.390523145E-1
1.688592500E-1,-9.457801882E-2,1.820431739E-1,-4.382488132E-3,2.051924097E-1
1.787872500E-1,-1.387054022E-1,1.429723713E-1,3.871149123E-2,2.029257674E-1
1.887162500E-1,-1.176937708E-1,1.813349847E-1,5.915628076E-3,2.162618668E-1
1.986442500E-1,-8.839327265E-2,1.710439583E-1,2.611308038E-2,1.942969358E-1
2.085732500E-1,-1.406494095E-1,1.587953571E-1,6.784524322E-3,2.122363108E-1
2.185022500E-1,-8.988309751E-2,1.620437229E-1,3.925586700E-2,1.894153174E-1
2.284302500E-1,-1.516404573E-1,1.509131825E-1,2.486762345E-2,2.153787725E-1
2.383592500E-1,-9.086690982E-2,1.686249469E-1,-1.601493895E-2,1.922177054E-1
2.482872500E-1,-1.262414408E-1,1.347229367E-1,6.540403068E-2,1.958694929E-1
2.582162500E-1,-1.262228302E-1,1.888620506E-1,-1.200374901E-2,2.274756405E-1
2.681442500E-1,-7.818472847E-2,1.668315693E-1,1.987117767E-2,1.853118668E-1
2.780732500E-1,-1.636672937E-1,1.661725881E-1,2.032492161E-3,2.332476004E-1
2.880012500E-1,-7.173725959E-2,1.528531425E-1,3.016403139E-2,1.715231365E-1
2.979302500E-1,-1.495746817E-1,1.516652623E-1,1.607574999E-2,2.136196783E-1
3.078582500E-1,-9.144285142E-2,1.695405112E-1,-9.531546235E-3,1.928642797E-1
3.177872500E-1,-1.267675074E-1,1.398579980E-1,4.434820712E-2,1.938995204E-1
3.277152500E-1,-1.221897680E-1,1.627876349E-1,-1.584069192E-2,2.041594500E-1
3.376442500E-1,-9.045029570E-2,1.518237767E-1,2.172240615E-2,1.780549861E-1
3.475732500E-1,-1.600468257E-1,1.584906989E-1,-5.541406274E-3,2.253108857E-1
3.575014167E-1,-7.425259472E-2,1.643076917E-1,2.738134146E-2,1.823738009E-1
3.674304167E-1,-1.367727330E-1,1.383455609E-1,4.158949077E-2,1.989370766E-1
3.773584167E-1,-1.057665655E-1,1.726827501E-1,-1.814858794E-2,2.033107715E-1
3.872874167E-1,-1.202001067E-1,1.456525887E-1,4.082292080E-2,1.932077978E-1
3.972154167E-1,-1.365391458E-1,1.690411224E-1,-9.639719725E-3,2.175103759E-1
4.071444167E-1,-9.073955015E-2,1.376916594E-1,2.148851752E-2,1.662961678E-1
4.170724167E-1,-1.572724132E-1,1.503908251E-1,1.653183281E-2,2.182322472E-1
4.270014167E-1,-7.750764831E-2,1.579383928E-1,1.831874192E-2,1.768828646E-1
4.369294167E-1,-1.518822306E-1,1.445189415E-1,2.997633576E-2,2.117841286E-1
4.468584167E-1,-9.750938335E-2,1.583817579E-1,-2.766376197E-2,1.880376154E-1
4.567864167E-1,-1.191670864E-1,1.416900038E-1,3.025407851E-2,1.875957380E-1
4.667154167E-1,-1.147623788E-1,1.581309672E-1,-2.918871582E-2,1.975545178E-1
4.766434167E-1,-8.873411964E-2,1.421110764E-1,3.337122917E-2,1.708301524E-1
4.865724167E-1,-1.561329005E-1,1.612512242E-1,1.920225620E-3,2.244618614E-1
4.965004167E-1,-8.081432185E-2,1.490025134E-1,1.957589328E-2,1.706338748E-1
5.064294167E-1,-1.383445468E-1,1.477867311E-1,2.120434284E-2,2.035430069E-1
5.163584167E-1,-1.140138073E-1,1.604906111E-1,1.774746895E-2,1.976647595E-1
5.262864167E-1,-1.217859447E-1,1.297660144E-1,2.716908753E-2,1.800255375E-1
5.362154167E-1,-1.308854822E-1,1.644058519E-1,-2.972958326E-2,2.122360518E-1
5.461434167E-1,-8.676215529E-2,1.414669690E-1,3.657784224E-2,1.699367926E-1
5.560724167E-1,-1.650641204E-1,1.504636412E-1,2.413964510E-2,2.246512712E-1
5.660004167E-1,-7.041308451E-2,1.516214082E-1,1.439876854E-2,1.677926650E-1
5.759294167E-1,-1.439808972E-1,1.368885261E-1,3.983181775E-2,2.026216697E-1
5.858574167E-1,-1.134631732E-1,1.457333899E-1,7.938179970E-3,1.848651598E-1
5.957864167E-1,-1.192975981E-1,1.305172720E-1,6.047365844E-2,1.868789409E-1
6.057144167E-1,-1.205348050E-1,1.527199538E-1,-1.588571548E-2,1.952034310E-1
6.156434167E-1,-9.618554631E-2,1.271797910E-1,6.673485696E-2,1.728580333E-1
6.255714167E-1,-1.586764393E-1,1.446357031E-1,1.148510098E-2,2.150107127E-1
6.355004167E-1,-8.050434633E-2,1.475350815E-1,2.240243733E-2,1.695565371E-1
6.454284167E-1,-1.441072610E-1,1.302920263E-1,3.122062325E-2,1.967679906E-1
6.553574167E-1,-1.082733947E-1,1.477143352E-1,9.657261372E-3,1.834009693E-1
6.652854167E-1,-1.129201222E-1,1.188811119E-1,2.716265559E-2,1.661971198E-1
6.752144167E-1,-1.296723950E-1,1.512782497E-1,-8.925189972E-3,1.994484843E-1
6.851424167E-1,-8.861781486E-2,1.298142540E-1,4.870087445E-2,1.645497883E-1
6.950714167E-1,-1.619661560E-1,1.471875925E-1,2.862855256E-2,2.207188643E-1
7.050004167E-1,-7.370612673E-2,1.457590812E-1,2.722463608E-3,1.633576281E-1
7.149284167E-1,-1.538483203E-1,1.229842493E-1,4.327407360E-2,2.016607961E-1
7.248574167E-1,-1.039194757E-1,1.621051735E-1,1.167981327E-2,1.929086902E-1
7.347854167E-1,-1.168950685E-1,1.333926220E-1,4.101354003E-2,1.820443878E-1
7.447144167E-1,-1.292133521E-1,1.552765210E-1,-2.666213393E-2,2.037590678E-1
7.546424167E-1,-9.052277377E-2,1.293885219E-1,5.161921978E-2,1.661333982E-1
7.645714167E-1,-1.554280187E-1,1.328114088E-1,9.092420340E-3,2.046445978E-1
7.744994167E-1,-8.052309397E-2,1.470093986E-1,1.313284636E-2,1.681315068E-1
7.844284167E-1,-1.525824803E-1,1.354357671E-1,2.764329672E-2,2.058844631E-1
7.943564167E-1,-1.043439653E-1,1.540041669E-1,2.194460034E-2,1.873139397E-1
8.042854167E-1,-1.113317078E-1,1.174958334E-1,2.537925482E-2,1.638417731E-1
8.142134167E-1,-1.440991480E-1,1.471934214E-1,-6.071164012E-3,2.060760219E-1
8.241424167E-1,-9.030992598E-2,1.322288617E-1,3.628489673E-2,1.641857129E-1
8.340704167E-1,-1.442448807E-1,1.423943740E-1,7.830591202E-3,2.028399899E-1
8.439994167E-1,-8.229306442E-2,1.287086186E-1,3.935760856E-3,1.528186741E-1
8.539274167E-1,-1.458638011E-1,1.107791185E-1,2.907469511E-2,1.854551144E-1
8.638564167E-1,-1.091171845E-1,1.451947700E-1,-8.504775167E-3,1.818252249E-1
8.737844167E-1,-1.125494087E-1,1.121511677E-1,3.699533343E-2,1.631376980E-1
8.837134167E-1,-1.362567801E-1,1.354284581E-1,-7.626523376E-3,1.922626881E-1
8.936414167E-1,-9.127874566E-2,1.263377919E-1,5.598708987E-2,1.656128054E-1
9.035704167E-1,-1.419978049E-1,1.359916911E-1,-2.186858654E-2,1.978265698E-1
9.134994167E-1,-7.626146961E-2,1.268097536E-1,2.812276840E-2,1.506234226E-1
9.234274167E-1,-1.499436776E-1,1.254258090E-1,2.915947974E-2,1.976487168E-1
9.333564167E-1,-1.041897815E-1,1.316712200E-1,3.555691838E-3,1.679448234E-1
9.432844167E-1,-1.075647031E-1,1.157001717E-1,2.495474696E-2,1.599357198E-1
9.532134167E-1,-1.436813918E-1,1.326868266E-1,1.596465290E-2,1.962269259E-1
9.631414167E-1,-9.186132934E-2,1.272237730E-1,2.045472980E-2,1.582491334E-1
9.730704167E-1,-1.424914560E-1,1.312815762E-1,7.269258499E-3,1.938852996E-1
9.829984167E-1,-8.182942590E-2,1.409665753E-1,1.250251651E-2,1.634745950E-1
9.929274167E-1,-1.407687019E-1,1.239834836E-1,4.258234799E-2,1.923564088E-1
1.002855417E0,-9.944726025E-2,1.481792985E-1,-4.724023998E-2,1.846036358E-1
1.012784417E0,-1.073551535E-1,1.100550687E-1,2.221006393E-2,1.553400595E-1
1.022712417E0,-1.414078117E-1,1.335187209E-1,-3.348232627E-2,1.973435689E-1
1.032641417E0,-8.721276549E-2,1.064485792E-1,3.447459877E-2,1.418656563E-1
1.042569417E0,-1.508603748E-1,1.275553284E-1,2.279829383E-3,1.975712836E-1
1.052498417E0,-8.489671078E-2,1.279108391E-1,1.350648344E-2,1.541137870E-1
1.062426417E0,-1.484640488E-1,1.095484989E-1,2.143179953E-2,1.857465193E-1
1.072355417E0,-1.070691698E-1,1.325102407E-1,7.052326798E-3,1.705066166E-1
1.082283417E0,-1.156914009E-1,1.069978338E-1,1.063959360E-2,1.579437800E-1
1.092212417E0,-1.425412487E-1,1.258435925E-1,-1.198094487E-3,1.901474502E-1
1.102140417E0,-8.763075918E-2,1.212450863E-1,2.169901729E-2,1.511633827E-1
1.112069417E0,-1.451754833E-1,1.176137462E-1,-6.145423651E-4,1.868402845E-1
1.121997417E0,-8.888190801E-2,1.261998524E-1,-1.968172789E-3,1.543705608E-1
1.131926417E0,-1.366821559E-1,1.043802181E-1,4.996387303E-2,1.790911228E-1
1.141854417E0,-1.025919933E-1,1.344994634E-1,-7.825913429E-3,1.693412758E-1
1.151783417E0,-1.101901120E-1,1.046068342E-1,5.159583092E-2,1.604574097E-1
1.161711417E0,-1.541171460E-1,1.313126213E-1,-1.248672903E-2,2.028571359E-1
1.171640417E0,-8.431119435E-2,1.189629729E-1,7.163482368E-2,1.624565000E-1
1.181568417E0,-1.569669328E-1,1.280098398E-1,7.405498624E-3,2.026819638E-1
1.191497417E0,-8.182415427E-2,1.171007261E-1,2.626218438E-2,1.452496974E-1
1.201425417E0,-1.523008090E-1,1.079352155E-1,1.323049486E-2,1.871378988E-1
1.211354417E0,-1.062996305E-1,1.349591459E-1,5.438495278E-3,1.718812374E-1
1.221282417E0,-1.233372566E-1,1.065754273E-1,3.866412878E-2,1.675270588E-1
