"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.174162500E-2,-1.040082255E-1,-5.870929766E-2,4.206253052E-2,1.266244411E-1
2.166962500E-2,-1.046872700E-1,-6.019182265E-2,-1.512791634E-2,1.217018236E-1
3.159862500E-2,-1.122413427E-1,-2.757956207E-2,-2.951206684E-2,1.192883621E-1
4.152662500E-2,-1.394414753E-1,-5.442142479E-2,7.736684918E-2,1.684970203E-1
5.145462500E-2,-3.296751548E-2,-6.673072737E-2,-7.218504667E-2,1.036847530E-1
6.138262500E-2,-1.179838932E-1,-4.562107287E-2,2.120083451E-2,1.282612830E-1
7.131162500E-2,-1.235914187E-1,-3.275445756E-2,1.791060627E-2,1.291064796E-1
8.123962500E-2,-9.259786838E-2,-7.085392803E-2,1.984018743E-2,1.182720482E-1
9.116762500E-2,-9.114289840E-2,-5.332485259E-2,-1.595295846E-2,1.067944976E-1
1.010956250E-1,-1.305306567E-1,-2.971244361E-2,2.204634190E-2,1.356728522E-1
1.110246250E-1,-1.141823990E-1,-5.603752211E-2,4.344305813E-2,1.344065602E-1
1.209526250E-1,-8.235376582E-2,-6.755255353E-2,3.301337957E-3,1.065663599E-1
1.308806250E-1,-1.113850362E-1,-3.883201696E-2,-2.321052253E-2,1.202217958E-1
1.408086250E-1,-1.213890649E-1,-4.396459322E-2,3.575280011E-2,1.339643731E-1
1.507366250E-1,-8.229504699E-2,-6.474826545E-2,-6.621971726E-3,1.049221766E-1
1.606656250E-1,-9.483959036E-2,-5.035300523E-2,-1.906309247E-2,1.090567491E-1
1.705936250E-1,-1.280994392E-1,-2.284616791E-2,2.149085641E-2,1.318835495E-1
1.805216250E-1,-1.084300544E-1,-5.207398698E-2,4.437101126E-2,1.282090615E-1
1.904496250E-1,-8.991128292E-2,-6.451174557E-2,-5.491704941E-3,1.107969446E-1
2.003786250E-1,-1.142136633E-1,-2.866542656E-2,-4.162048101E-3,1.178294964E-1
2.103066250E-1,-1.178232683E-1,-3.586422611E-2,4.866345227E-2,1.324261940E-1
2.202346250E-1,-8.171041679E-2,-5.928707566E-2,1.377136230E-2,1.018881739E-1
2.301626250E-1,-9.487940624E-2,-4.008010514E-2,-4.652044773E-3,1.031026580E-1
2.400916250E-1,-1.281657686E-1,-3.246874798E-2,2.602069438E-2,1.347507342E-1
2.500196250E-1,-9.359893911E-2,-5.634256404E-2,2.061962128E-2,1.111774020E-1
2.599476250E-1,-7.573562220E-2,-7.099813499E-2,-3.199596405E-3,1.038597952E-1
2.698756250E-1,-1.120036808E-1,-3.077046074E-2,-1.354332089E-2,1.169404434E-1
2.798046250E-1,-1.104357956E-1,-4.769025631E-2,5.065735281E-2,1.305243000E-1
2.897326250E-1,-7.374699329E-2,-6.707754035E-2,-8.034659028E-3,1.000128551E-1
2.996606250E-1,-9.648155247E-2,-4.838472281E-2,-1.703235447E-2,1.092697235E-1
3.095886250E-1,-1.223347789E-1,-4.182725318E-2,1.558516860E-2,1.302237103E-1
3.195176250E-1,-7.863315510E-2,-7.226376481E-2,9.726258516E-3,1.072372365E-1
3.294456250E-1,-8.737553735E-2,-4.691626769E-2,-1.362985969E-2,1.001069117E-1
3.393736250E-1,-1.224533221E-1,-1.748964328E-2,-1.514253438E-2,1.246194209E-1
3.493016250E-1,-1.041087885E-1,-3.243815973E-2,2.976057351E-2,1.130334719E-1
3.592306250E-1,-7.706220925E-2,-5.244163066E-2,-1.441046298E-2,9.432057127E-2
3.691586250E-1,-1.040256941E-1,-1.216187965E-2,-1.187569499E-2,1.054053531E-1
3.790866250E-1,-1.131231028E-1,-1.739806127E-2,3.706491530E-2,1.203051822E-1
3.890146250E-1,-7.750426789E-2,-5.367524698E-2,1.175407290E-2,9.500579935E-2
3.989426250E-1,-8.887404168E-2,-4.054784585E-2,-6.826039553E-3,9.792506269E-2
4.088716250E-1,-1.181707209E-1,-2.549057119E-2,1.816028237E-2,1.222451813E-1
4.187996250E-1,-9.632532218E-2,-5.616583195E-2,5.138767004E-2,1.227756531E-1
4.287276250E-1,-7.461189698E-2,-5.862791173E-2,9.765434861E-3,9.539146148E-2
4.386556250E-1,-1.061266443E-1,-1.791532058E-2,2.023370504E-2,1.095135890E-1
4.485846250E-1,-1.029253212E-1,-3.688573468E-2,4.568078756E-2,1.184943607E-1
4.585126250E-1,-6.989858435E-2,-7.131245937E-2,2.531259656E-2,1.030145936E-1
4.684406250E-1,-9.467495469E-2,-5.448958140E-2,-1.122197628E-2,1.098107202E-1
4.783686250E-1,-1.161624946E-1,-1.305869635E-2,3.157613397E-2,1.210838839E-1
4.882976250E-1,-8.289238575E-2,-4.012911212E-2,2.498515248E-2,9.542405933E-2
4.982256250E-1,-7.508129136E-2,-4.990503542E-2,-3.618841767E-3,9.022643120E-2
5.081536250E-1,-1.094276625E-1,-1.537912734E-2,-6.024386287E-3,1.106671772E-1
5.180816250E-1,-9.822172039E-2,-4.348270956E-2,4.276536584E-2,1.156163003E-1
5.280106250E-1,-6.780873466E-2,-5.483803891E-2,9.374840856E-3,8.771044777E-2
5.379386250E-1,-8.208904227E-2,-2.901775785E-2,-9.652583599E-3,8.760030538E-2
5.478666250E-1,-1.095132968E-1,-2.341089930E-2,2.161715627E-2,1.140549597E-1
5.577946250E-1,-7.425577414E-2,-5.728498902E-2,1.816145182E-2,9.552658422E-2
5.677236250E-1,-7.783508325E-2,-4.129961506E-2,-1.493144989E-2,8.936949471E-2
5.776516250E-1,-1.123928678E-1,-4.124662466E-3,8.554476500E-3,1.127933892E-1
5.875796250E-1,-8.163998525E-2,-3.656662289E-2,3.713508189E-2,9.685669521E-2
5.975076250E-1,-7.449792196E-2,-4.442674253E-2,3.444010019E-3,8.680747107E-2
6.074366250E-1,-1.036248948E-1,-1.568391345E-2,-1.952970028E-3,1.048232706E-1
6.173646250E-1,-1.097588433E-1,-1.625401698E-2,3.261635363E-2,1.156504357E-1
6.272926250E-1,-6.455625750E-2,-4.663011957E-2,3.417697549E-3,7.970921584E-2
6.372206250E-1,-8.049658963E-2,-3.407347977E-2,-5.576489568E-3,8.758881323E-2
6.471496250E-1,-1.112506599E-1,-2.001125503E-2,1.222828209E-2,1.136956047E-1
6.570776250E-1,-8.747069165E-2,-4.535579201E-2,3.557095170E-2,1.047547725E-1
6.670056250E-1,-6.306830557E-2,-5.560022347E-2,-8.593652844E-3,8.451536479E-2
6.769336250E-1,-9.095039709E-2,-1.614211589E-2,-4.267882705E-3,9.247030583E-2
6.868626250E-1,-1.008185876E-1,-3.437260140E-2,4.227887750E-2,1.146009024E-1
6.967906250E-1,-6.367759458E-2,-6.121062689E-2,8.741002679E-3,8.875799695E-2
7.067186250E-1,-8.031930023E-2,-4.047998160E-2,-2.450275719E-2,9.322126372E-2
7.166466250E-1,-1.082605217E-1,-1.975675497E-2,4.081356525E-3,1.101241454E-1
7.265756250E-1,-8.122476898E-2,-4.658462092E-2,9.611068368E-3,9.412737454E-2
7.365036250E-1,-6.822771507E-2,-5.356510006E-2,-1.419587016E-2,8.789632403E-2
7.464316250E-1,-1.080458467E-1,-8.283860050E-3,3.294964492E-2,1.132616723E-1
7.563596250E-1,-9.101515501E-2,-2.744452793E-2,5.284830451E-2,1.087653614E-1
7.662886250E-1,-6.288618308E-2,-4.574463185E-2,6.578117609E-3,7.804175162E-2
7.762203333E-1,-9.455292148E-2,-2.703240886E-2,-1.675812006E-3,9.835555111E-2
7.861483333E-1,-9.918098353E-2,-1.831654921E-2,5.234602869E-2,1.136330506E-1
7.960763333E-1,-6.983175251E-2,-4.451554712E-2,2.239249706E-2,8.578771193E-2
8.060043333E-1,-6.377633030E-2,-3.655960623E-2,2.767487168E-3,7.356414955E-2
8.159333333E-1,-1.050212922E-1,1.821663491E-3,9.935004115E-3,1.055058983E-1
8.258613333E-1,-8.279092742E-2,-2.960445285E-2,2.953428626E-2,9.275254906E-2
8.357893333E-1,-6.237981420E-2,-4.895182963E-2,-1.161841750E-3,7.930241308E-2
8.457173333E-1,-9.264583382E-2,-1.476626605E-2,2.862212062E-3,9.385885890E-2
8.556463333E-1,-1.030498486E-1,-1.623201683E-2,5.164436281E-2,1.164039942E-1
8.655743333E-1,-5.735577688E-2,-5.719837714E-2,9.864837527E-3,8.160057909E-2
8.755023333E-1,-7.253431731E-2,-3.385640189E-2,-9.314029813E-3,8.058681212E-2
8.854303333E-1,-1.003304091E-1,-1.764748156E-2,1.087757528E-2,1.024497254E-1
8.953593333E-1,-6.594071371E-2,-3.134473041E-2,2.448696971E-2,7.700832121E-2
9.052873333E-1,-6.223150506E-2,-4.738565292E-2,3.960903883E-3,7.831889353E-2
9.152153333E-1,-9.183987737E-2,-1.130544528E-2,-1.641138017E-2,9.397717578E-2
9.251433333E-1,-9.741737192E-2,-3.686702359E-2,2.743805945E-2,1.077133645E-1
9.350723333E-1,-6.554592616E-2,-5.197473049E-2,-4.204148054E-4,8.365296046E-2
9.450003333E-1,-7.034752261E-2,-3.277335137E-2,-1.569860458E-2,7.917899143E-2
9.549283333E-1,-9.868760644E-2,-1.988864623E-2,1.677390754E-2,1.020596193E-1
9.648563333E-1,-6.473127197E-2,-5.442493312E-2,2.080439329E-2,8.709209893E-2
9.747853333E-1,-5.866670435E-2,-6.281780720E-2,-1.497881234E-2,8.724805969E-2
9.847133333E-1,-9.625509163E-2,-5.085286908E-3,-1.064193249E-3,9.639520380E-2
9.946413333E-1,-8.175065294E-2,-2.925639734E-2,2.886770368E-2,9.150109484E-2
1.004569333E0,-5.321368240E-2,-4.393747676E-2,1.973435283E-2,7.177494368E-2
1.014498333E0,-8.265213828E-2,-1.702654380E-2,1.194469213E-2,8.522883799E-2
1.024426333E0,-1.082419842E-1,-1.064580627E-2,2.211826265E-2,1.109904405E-1
1.034354333E0,-6.454715777E-2,-5.024914406E-2,2.271877170E-2,8.489672928E-2
1.044282333E0,-6.026022593E-2,-3.884648882E-2,3.400155902E-3,7.177677607E-2
1.054211333E0,-1.018356286E-1,-1.327036556E-2,-2.998042881E-2,1.069832882E-1
1.064139333E0,-8.068921885E-2,-3.941878505E-2,1.134125948E-2,9.051637873E-2
1.074067333E0,-5.673025271E-2,-5.467610758E-2,2.452322245E-2,8.251779657E-2
1.083995333E0,-8.093266401E-2,-1.226625245E-2,7.405498624E-2,1.103843197E-1
1.093924333E0,-8.999005588E-2,-2.292777311E-2,-4.087203741E-3,9.295481790E-2
1.103852333E0,-5.278003827E-2,-5.236696903E-2,-2.190016150E-2,7.750902501E-2
1.113780333E0,-6.579451505E-2,-3.480295647E-2,-2.114996374E-2,7.737884049E-2
1.123708333E0,-9.893161805E-2,-2.004970048E-2,3.034471035E-2,1.054052038E-1
1.133637333E0,-7.258550785E-2,-2.756666165E-2,2.569851279E-2,8.178624789E-2
1.143565333E0,-4.881738022E-2,-4.163491633E-2,1.566235185E-2,6.604477371E-2
1.153493333E0,-8.965093564E-2,-9.878980480E-3,8.619380593E-3,9.060451555E-2
1.163421333E0,-8.101155574E-2,-2.938357428E-2,3.974937201E-2,9.490141820E-2
1.173350333E0,-5.038488169E-2,-4.793733772E-2,-7.601380348E-5,6.954588722E-2
1.183278333E0,-6.972116704E-2,-2.872492198E-2,-1.205929756E-2,7.636484095E-2
1.193206333E0,-9.783172024E-2,-1.802575987E-2,2.805435598E-2,1.033586977E-1
1.203134333E0,-5.747212733E-2,-3.037175372E-2,1.233177781E-2,6.616314373E-2
1.213063333E0,-5.269227521E-2,-3.218256332E-2,-1.161783278E-2,6.282648556E-2
1.222991333E0,-9.353558818E-2,3.533435874E-3,-2.492083311E-3,9.363547354E-2
1.232919333E0,-8.106807274E-2,-3.064295489E-2,2.999212325E-2,9.170905385E-2
1.242847333E0,-5.047409741E-2,-3.501714729E-2,-1.102901816E-2,6.241373531E-2
1.252776333E0,-7.115905219E-2,-1.394023720E-2,-9.982951283E-3,7.319562991E-2
1.262704333E0,-9.161897139E-2,-1.311263692E-2,2.563828647E-2,9.603800757E-2
1.272632333E0,-5.433207203E-2,-4.702469699E-2,1.156754673E-2,7.278120853E-2
1.282560333E0,-5.557310700E-2,-3.808229428E-2,-1.178330898E-2,6.839208821E-2
1.292489333E0,-8.882612192E-2,-1.034357831E-2,1.391637325E-3,8.943716343E-2
1.302417333E0,-6.640746770E-2,-4.357092943E-2,3.342385411E-2,8.617152478E-2
1.312345333E0,-4.367701071E-2,-5.004109282E-2,-1.148568571E-2,6.740707093E-2
1.322273333E0,-7.642950397E-2,-1.776716676E-2,-2.808417678E-3,7.851769547E-2
1.332202333E0,-8.767564570E-2,-1.444134358E-2,4.210112214E-2,9.832637356E-2
1.342130333E0,-4.653954254E-2,-4.716309328E-2,-6.695061922E-3,6.659662335E-2
1.352058333E0,-5.986087938E-2,-2.843029540E-2,1.882803440E-4,6.626946526E-2
1.361986333E0,-9.141543346E-2,5.997452550E-3,3.221991241E-2,9.711268541E-2
1.371915333E0,-6.199829252E-2,-3.547085468E-2,3.042189360E-2,7.763672724E-2
1.381843333E0,-5.192853749E-2,-4.168644492E-2,-1.673356175E-2,6.866108639E-2
1.391771333E0,-7.909114740E-2,-5.659848936E-3,1.485075831E-2,8.067210490E-2
1.401699333E0,-8.266330280E-2,-2.277654950E-2,4.119480371E-2,9.512625658E-2
1.411628333E0,-5.153856475E-2,-4.708408277E-2,-1.538811743E-2,7.148376505E-2
1.421556333E0,-6.562845413E-2,-2.252164744E-2,-1.823395729E-2,7.174117223E-2
1.431484333E0,-9.310239173E-2,-1.279502347E-2,4.553870022E-2,1.044295992E-1
1.441412333E0,-6.228350873E-2,-3.792920686E-2,2.667616725E-2,7.764971405E-2
1.451341333E0,-4.960657161E-2,-4.104566317E-2,1.075887680E-3,6.439499939E-2
1.461269333E0,-8.754974783E-2,3.747224696E-3,1.483847916E-2,8.887733402E-2
1.471197333E0,-7.698340888E-2,-2.936475355E-2,2.427062273E-2,8.589410412E-2
1.481125333E0,-4.502584459E-2,-4.582554270E-2,-2.524827719E-3,6.429371509E-2
1.491054333E0,-6.947448763E-2,-1.521142188E-2,1.368833184E-3,7.113343441E-2
1.500982333E0,-8.966138754E-2,-1.005070589E-2,5.106256485E-2,1.036704714E-1
1.510910333E0,-5.173806444E-2,-5.133541055E-2,-1.375557482E-2,7.417120416E-2
1.520838333E0,-4.867914839E-2,-2.363181442E-2,-2.094297230E-2,5.802353169E-2
1.530767333E0,-9.191237370E-2,-6.363963336E-3,1.198913097E-2,9.290922307E-2
1.540695333E0,-7.327864045E-2,-4.455655072E-2,3.549493790E-2,9.281667940E-2
1.550623333E0,-3.700466157E-2,-4.158156049E-2,1.289077163E-2,5.713618069E-2
1.560551333E0,-7.143680407E-2,-5.758447610E-3,-1.450694203E-2,7.312200805E-2
1.570480333E0,-8.213291466E-2,-1.920503363E-2,3.893719375E-2,9.290185168E-2
1.580408333E0,-4.343602320E-2,-4.836776588E-2,2.046525478E-5,6.500868639E-2
1.590336333E0,-5.099292817E-2,-3.006919686E-2,-7.615413666E-3,5.968609426E-2
1.600264333E0,-8.534578607E-2,-1.047101106E-2,1.738201797E-2,8.772502392E-2
1.610193333E0,-6.064581326E-2,-3.725816578E-2,2.771346331E-2,7.638142203E-2
1.620121333E0,-4.375980363E-2,-4.043232679E-2,-1.584595442E-2,6.165052908E-2
1.630049333E0,-7.410584788E-2,-2.322002426E-3,1.558750749E-2,7.576304359E-2
1.639977333E0,-7.886829539E-2,-2.232682552E-2,4.597080946E-2,9.397877674E-2
1.649906333E0,-4.260066622E-2,-3.644321010E-2,-8.221769929E-3,5.666146685E-2
1.659834333E0,-6.320389702E-2,-1.556598242E-2,4.572522640E-4,6.509409717E-2
1.669762333E0,-8.766759664E-2,-8.088855408E-3,3.293327272E-2,9.399807197E-2
1.679690333E0,-4.861991792E-2,-4.291443329E-2,1.302174926E-2,6.614462153E-2
1.689619333E0,-4.469537641E-2,-3.622598603E-2,-6.293358207E-3,5.787577295E-2
1.699547333E0,-8.192422388E-2,-3.288437538E-3,1.331527948E-2,8.306436629E-2
1.709475333E0,-6.482329253E-2,-2.807438269E-2,2.873614132E-2,7.626267787E-2
1.719403333E0,-3.975780479E-2,-3.887535945E-2,-1.034080088E-2,5.655889653E-2
1.729332333E0,-7.273294905E-2,-1.070102591E-2,-4.811089039E-3,7.367320009E-2
1.739260333E0,-7.476702179E-2,-8.815554678E-3,3.470322490E-2,8.289834359E-2
